# period(s) Vg(km/s)
1.100000000000000089e+00 1.096829999999999972e+00
1.000000000000000000e+00 1.035250000000000004e+00
9.000000000000000222e-01 1.029989999999999961e+00
8.000000000000000444e-01 1.043860000000000010e+00
6.999999999999999556e-01 1.009859999999999980e+00
5.999999999999999778e-01 1.002720000000000056e+00
5.000000000000000000e-01 1.066610000000000058e+00
4.000000000000000222e-01 1.121369999999999978e+00
2.999999999999999889e-01 1.205680000000000085e+00
