# frequency(Hz) HVamp
2.000000000000000042e-02 1.263784000000000018e+00
2.043777802275861116e-02 1.234704999999999941e+00
2.088513892042544867e-02 1.209313000000000082e+00
2.134229185993890415e-02 1.194960000000000022e+00
2.180945121728470465e-02 1.196364999999999901e+00
2.228683671448790371e-02 1.214698000000000055e+00
2.277467095838639488e-02 1.248259999999999925e+00
2.327318386720582041e-02 1.293976000000000015e+00
2.378260869151607032e-02 1.348813999999999957e+00
2.430318396985316209e-02 1.411451000000000011e+00
2.483515418061077798e-02 1.483082999999999929e+00
2.537876860438217572e-02 1.566098999999999908e+00
2.593428185548686538e-02 1.662017000000000078e+00
2.650195524800330604e-02 1.770529999999999937e+00
2.708205410122367304e-02 1.889472999999999958e+00
2.767485116257483238e-02 2.014644000000000101e+00
2.828062296556268368e-02 2.139257999999999882e+00
2.889965516642458918e-02 2.253346000000000071e+00
2.953223712425469966e-02 2.346220999999999890e+00
3.017866585007221089e-02 2.412408000000000108e+00
3.083924344304486698e-02 2.454594999999999860e+00
3.151428172097601316e-02 2.479387000000000008e+00
3.220409460893151193e-02 2.489612999999999854e+00
3.290900679366954434e-02 2.479458999999999858e+00
3.362935008254323843e-02 2.436135000000000161e+00
3.436545982617606604e-02 2.348276999999999948e+00
3.511768145762538679e-02 2.216232000000000202e+00
3.588636982920923035e-02 2.055791999999999842e+00
3.667188287528685281e-02 1.891521999999999926e+00
3.747459035401046190e-02 1.745359000000000105e+00
3.829486888200696326e-02 1.629091999999999985e+00
3.913310161841203338e-02 1.543790999999999913e+00
3.998968266187323539e-02 1.484018000000000059e+00
4.086501260624340881e-02 1.443351000000000051e+00
4.175950326235679244e-02 1.417963000000000084e+00
4.267357455111880221e-02 1.406490000000000018e+00
4.360765235805109941e-02 1.407437999999999967e+00
4.456217573218773653e-02 1.417119999999999935e+00
4.553759360593897382e-02 1.430210999999999899e+00
4.653436264861679494e-02 1.442325999999999997e+00
4.755294901990994583e-02 1.452550000000000008e+00
4.859383060501651364e-02 1.463791000000000064e+00
4.965749734357217948e-02 1.480583999999999900e+00
5.074444382592605690e-02 1.505992999999999915e+00
5.185518671652646766e-02 1.539047999999999972e+00
5.299023919793973553e-02 1.574657999999999891e+00
5.415013688613103116e-02 1.606643000000000043e+00
5.533542508618215922e-02 1.631491999999999942e+00
5.654665825930951795e-02 1.650098999999999982e+00
5.778440269534190765e-02 1.666449999999999987e+00
5.904923992113619846e-02 1.684623999999999899e+00
6.034176368113722960e-02 1.706566999999999945e+00
6.166257977365023624e-02 1.731681000000000026e+00
6.301230579922413588e-02 1.757082000000000033e+00
6.439157495481964699e-02 1.778070999999999957e+00
6.580103648476649802e-02 1.789496999999999893e+00
6.724135160227064090e-02 1.788060999999999900e+00
6.871319291929786632e-02 1.774305000000000021e+00
7.021724865648072689e-02 1.752607000000000026e+00
7.175422799231455373e-02 1.728723000000000010e+00
7.332484622679873165e-02 1.706782999999999939e+00
7.492985067379918929e-02 1.688307000000000002e+00
7.656998328017844413e-02 1.673408000000000007e+00
7.824601847091161577e-02 1.661910999999999916e+00
7.995873489609482687e-02 1.653078999999999965e+00
8.170894587125514252e-02 1.644957999999999920e+00
8.349746848200181870e-02 1.634603000000000028e+00
8.532513483931059017e-02 1.619270999999999905e+00
8.719280666320453066e-02 1.597685999999999940e+00
8.910136197668877545e-02 1.570648000000000044e+00
9.105169441740208758e-02 1.540810000000000013e+00
9.304472101470850909e-02 1.511665999999999954e+00
9.508136492722282784e-02 1.486317000000000110e+00
9.716259003207046441e-02 1.466641000000000084e+00
9.928937600698042876e-02 1.453097000000000083e+00
1.014627169666056788e-01 1.444976999999999956e+00
1.036836198025345573e-01 1.440722999999999976e+00
