# period(s) Vg(km/s)
1.100000000000000089e+00 1.527339999999999920e+00
1.000000000000000000e+00 1.400570000000000093e+00
9.000000000000000222e-01 1.290669999999999984e+00
8.000000000000000444e-01 1.345290000000000097e+00
6.999999999999999556e-01 1.306780000000000053e+00
5.999999999999999778e-01 1.298990000000000089e+00
5.000000000000000000e-01 1.292699999999999960e+00
4.000000000000000222e-01 1.265879999999999894e+00
2.999999999999999889e-01 1.271179999999999977e+00
