# period(s) Vg(km/s)
1.100000000000000089e+00 8.697000000000000286e-01
1.000000000000000000e+00 7.870300000000000074e-01
9.000000000000000222e-01 7.719099999999999850e-01
8.000000000000000444e-01 8.502399999999999958e-01
6.999999999999999556e-01 9.065900000000000070e-01
5.999999999999999778e-01 9.461100000000000065e-01
5.000000000000000000e-01 9.548999999999999710e-01
4.000000000000000222e-01 9.388499999999999623e-01
2.999999999999999889e-01 9.315299999999999692e-01
