# frequency(Hz) HVamp
2.000000000000000042e-02 1.230933999999999973e+00
2.043777802275861116e-02 1.198674000000000017e+00
2.088513892042544867e-02 1.170055000000000067e+00
2.134229185993890415e-02 1.145674999999999999e+00
2.180945121728470465e-02 1.125613999999999892e+00
2.228683671448790371e-02 1.108753000000000100e+00
2.277467095838639488e-02 1.092921999999999949e+00
2.327318386720582041e-02 1.075736999999999943e+00
2.378260869151607032e-02 1.055822000000000038e+00
2.430318396985316209e-02 1.033549999999999969e+00
2.483515418061077798e-02 1.011018999999999890e+00
2.537876860438217572e-02 9.915059999999999985e-01
2.593428185548686538e-02 9.780149999999999677e-01
2.650195524800330604e-02 9.715629999999999544e-01
2.708205410122367304e-02 9.706399999999999473e-01
2.767485116257483238e-02 9.723659999999999526e-01
2.828062296556268368e-02 9.744070000000000231e-01
2.889965516642458918e-02 9.762410000000000254e-01
2.953223712425469966e-02 9.788820000000000299e-01
3.017866585007221089e-02 9.834829999999999961e-01
3.083924344304486698e-02 9.901309999999999834e-01
3.151428172097601316e-02 9.979740000000000277e-01
3.220409460893151193e-02 1.006526000000000032e+00
3.290900679366954434e-02 1.016836000000000073e+00
3.362935008254323843e-02 1.031330000000000080e+00
3.436545982617606604e-02 1.052210000000000090e+00
3.511768145762538679e-02 1.079415999999999931e+00
3.588636982920923035e-02 1.109734999999999916e+00
3.667188287528685281e-02 1.138020999999999949e+00
3.747459035401046190e-02 1.159863000000000088e+00
3.829486888200696326e-02 1.173859999999999904e+00
3.913310161841203338e-02 1.182077999999999962e+00
3.998968266187323539e-02 1.188681000000000099e+00
4.086501260624340881e-02 1.197899000000000047e+00
4.175950326235679244e-02 1.212507999999999919e+00
4.267357455111880221e-02 1.233190000000000008e+00
4.360765235805109941e-02 1.258620999999999990e+00
4.456217573218773653e-02 1.285949999999999926e+00
4.553759360593897382e-02 1.311509000000000036e+00
4.653436264861679494e-02 1.332036999999999916e+00
4.755294901990994583e-02 1.346187999999999940e+00
4.859383060501651364e-02 1.355210000000000026e+00
4.965749734357217948e-02 1.362114999999999965e+00
5.074444382592605690e-02 1.369985000000000008e+00
5.185518671652646766e-02 1.380878999999999968e+00
5.299023919793973553e-02 1.395817000000000085e+00
5.415013688613103116e-02 1.415083000000000091e+00
5.533542508618215922e-02 1.438347000000000042e+00
5.654665825930951795e-02 1.464534999999999920e+00
5.778440269534190765e-02 1.491748999999999992e+00
5.904923992113619846e-02 1.517649000000000026e+00
6.034176368113722960e-02 1.540300000000000002e+00
6.166257977365023624e-02 1.559040999999999899e+00
6.301230579922413588e-02 1.574615000000000098e+00
6.439157495481964699e-02 1.588092000000000059e+00
6.580103648476649802e-02 1.599623000000000017e+00
6.724135160227064090e-02 1.608438000000000034e+00
6.871319291929786632e-02 1.613974999999999937e+00
7.021724865648072689e-02 1.616789000000000032e+00
7.175422799231455373e-02 1.618204999999999893e+00
7.332484622679873165e-02 1.619196000000000080e+00
7.492985067379918929e-02 1.619869000000000003e+00
7.656998328017844413e-02 1.619931000000000010e+00
7.824601847091161577e-02 1.619439000000000073e+00
7.995873489609482687e-02 1.618951000000000029e+00
8.170894587125514252e-02 1.618907000000000096e+00
8.349746848200181870e-02 1.618997000000000019e+00
8.532513483931059017e-02 1.618108000000000102e+00
8.719280666320453066e-02 1.614767999999999981e+00
8.910136197668877545e-02 1.607825999999999977e+00
9.105169441740208758e-02 1.597148999999999930e+00
9.304472101470850909e-02 1.584065999999999974e+00
9.508136492722282784e-02 1.570974000000000093e+00
9.716259003207046441e-02 1.559808000000000083e+00
9.928937600698042876e-02 1.550683000000000034e+00
1.014627169666056788e-01 1.542067999999999994e+00
1.036836198025345573e-01 1.532210000000000072e+00
1.059531470945422049e-01 1.520399999999999974e+00
1.082723426204657002e-01 1.507122000000000073e+00
1.106423073612318730e-01 1.493338999999999972e+00
1.130641434367904014e-01 1.479911999999999894e+00
1.155389888050807612e-01 1.467540000000000067e+00
1.180680199308263012e-01 1.456625000000000059e+00
1.206523964642573915e-01 1.446965999999999974e+00
1.232933427266421494e-01 1.437694999999999945e+00
1.259921091142061633e-01 1.427527999999999908e+00
1.287499385219043613e-01 1.415332000000000034e+00
1.315681276210838024e-01 1.400784999999999947e+00
1.344480149355610776e-01 1.384546000000000054e+00
1.373909270603933253e-01 1.367820999999999954e+00
1.403982677661723133e-01 1.351828999999999947e+00
1.434714465996406174e-01 1.337522000000000100e+00
1.466118729226930095e-01 1.325560000000000072e+00
1.498210387691902012e-01 1.316446000000000005e+00
1.531004603883944215e-01 1.310491999999999990e+00
1.564516759885790365e-01 1.307296000000000014e+00
1.598762174374112610e-01 1.305204000000000031e+00
1.633757347823671657e-01 1.301776999999999962e+00
1.669518482487836186e-01 1.295341000000000076e+00
1.706062493069121222e-01 1.286248000000000058e+00
1.743406480276755433e-01 1.276631999999999989e+00
1.781567686922972404e-01 1.269053999999999904e+00
1.820564109071452219e-01 1.265200000000000102e+00
1.860414236112984399e-01 1.265422000000000047e+00
1.901136708649468487e-01 1.269077999999999928e+00
1.942750635716576912e-01 1.275195000000000078e+00
1.985275213739692568e-01 1.282980000000000009e+00
2.028730886819132551e-01 1.292067999999999994e+00
2.073137384534022021e-01 1.302499000000000073e+00
2.118516148918974384e-01 1.314391000000000087e+00
2.164888283105038391e-01 1.327490000000000059e+00
2.212275340673810209e-01 1.341047000000000100e+00
