# period(s) Vg(km/s)
1.100000000000000089e+00 1.693289999999999962e+00
1.000000000000000000e+00 1.412719999999999976e+00
9.000000000000000222e-01 1.347339999999999982e+00
8.000000000000000444e-01 1.400490000000000013e+00
6.999999999999999556e-01 1.356680000000000108e+00
5.999999999999999778e-01 1.278869999999999951e+00
5.000000000000000000e-01 1.292869999999999964e+00
4.000000000000000222e-01 1.300699999999999967e+00
2.999999999999999889e-01 1.242469999999999963e+00
