# period(s) Vg(km/s)
1.100000000000000089e+00 1.155529999999999946e+00
1.000000000000000000e+00 1.235170000000000101e+00
9.000000000000000222e-01 1.105879999999999974e+00
8.000000000000000444e-01 1.132120000000000015e+00
6.999999999999999556e-01 1.022170000000000023e+00
5.999999999999999778e-01 9.483200000000000518e-01
5.000000000000000000e-01 1.019859999999999989e+00
4.000000000000000222e-01 1.014860000000000095e+00
2.999999999999999889e-01 1.064599999999999991e+00
