# frequency(Hz) HVamp
2.000000000000000042e-02 9.250129999999999741e-01
2.043777802275861116e-02 9.124149999999999761e-01
2.088513892042544867e-02 9.118650000000000366e-01
2.134229185993890415e-02 9.258520000000000083e-01
2.180945121728470465e-02 9.545719999999999761e-01
2.228683671448790371e-02 9.969240000000000324e-01
2.277467095838639488e-02 1.051955999999999891e+00
2.327318386720582041e-02 1.118676000000000004e+00
2.378260869151607032e-02 1.193834999999999980e+00
2.430318396985316209e-02 1.272907000000000011e+00
2.483515418061077798e-02 1.353339999999999987e+00
2.537876860438217572e-02 1.434277000000000024e+00
2.593428185548686538e-02 1.514834999999999932e+00
2.650195524800330604e-02 1.594357999999999942e+00
2.708205410122367304e-02 1.672768999999999950e+00
2.767485116257483238e-02 1.749163000000000023e+00
2.828062296556268368e-02 1.821144000000000096e+00
2.889965516642458918e-02 1.886438000000000059e+00
2.953223712425469966e-02 1.944055000000000089e+00
3.017866585007221089e-02 1.993101999999999929e+00
3.083924344304486698e-02 2.031657000000000046e+00
3.151428172097601316e-02 2.058050000000000157e+00
3.220409460893151193e-02 2.073033000000000126e+00
3.290900679366954434e-02 2.080165000000000042e+00
3.362935008254323843e-02 2.084423999999999833e+00
3.436545982617606604e-02 2.091118999999999950e+00
3.511768145762538679e-02 2.105798000000000059e+00
3.588636982920923035e-02 2.134685000000000166e+00
3.667188287528685281e-02 2.182817000000000007e+00
3.747459035401046190e-02 2.248655999999999988e+00
3.829486888200696326e-02 2.321517000000000053e+00
3.913310161841203338e-02 2.384860999999999898e+00
3.998968266187323539e-02 2.421297000000000033e+00
4.086501260624340881e-02 2.416628000000000220e+00
4.175950326235679244e-02 2.362954999999999917e+00
4.267357455111880221e-02 2.261318000000000161e+00
4.360765235805109941e-02 2.123466000000000076e+00
4.456217573218773653e-02 1.970468000000000108e+00
4.553759360593897382e-02 1.826143999999999989e+00
4.653436264861679494e-02 1.707759999999999945e+00
4.755294901990994583e-02 1.620692000000000021e+00
4.859383060501651364e-02 1.559293000000000040e+00
4.965749734357217948e-02 1.512097000000000024e+00
5.074444382592605690e-02 1.470501000000000058e+00
5.185518671652646766e-02 1.432225000000000081e+00
5.299023919793973553e-02 1.397372999999999976e+00
5.415013688613103116e-02 1.365186000000000011e+00
5.533542508618215922e-02 1.333800000000000097e+00
5.654665825930951795e-02 1.301025000000000098e+00
5.778440269534190765e-02 1.265328999999999926e+00
5.904923992113619846e-02 1.227022999999999975e+00
6.034176368113722960e-02 1.188803999999999972e+00
6.166257977365023624e-02 1.153901999999999983e+00
6.301230579922413588e-02 1.123224000000000000e+00
6.439157495481964699e-02 1.095990999999999937e+00
6.580103648476649802e-02 1.072535000000000016e+00
6.724135160227064090e-02 1.055571000000000037e+00
6.871319291929786632e-02 1.049284000000000106e+00
7.021724865648072689e-02 1.056767999999999930e+00
7.175422799231455373e-02 1.077671999999999963e+00
7.332484622679873165e-02 1.107907999999999893e+00
7.492985067379918929e-02 1.141558000000000073e+00
7.656998328017844413e-02 1.173678999999999917e+00
7.824601847091161577e-02 1.201656000000000057e+00
7.995873489609482687e-02 1.224718999999999891e+00
8.170894587125514252e-02 1.243332000000000104e+00
