# period(s) Vg(km/s)
1.100000000000000089e+00 1.110430000000000028e+00
1.000000000000000000e+00 1.206210000000000004e+00
9.000000000000000222e-01 1.147599999999999953e+00
8.000000000000000444e-01 1.223119999999999985e+00
6.999999999999999556e-01 1.264720000000000066e+00
5.999999999999999778e-01 1.354940000000000033e+00
5.000000000000000000e-01 1.387219999999999898e+00
4.000000000000000222e-01 1.455819999999999892e+00
2.999999999999999889e-01 1.372679999999999900e+00
