# frequency(Hz) HVamp
2.000000000000000042e-02 1.064483000000000068e+00
2.043777802275861116e-02 1.094946999999999893e+00
2.088513892042544867e-02 1.114128000000000007e+00
2.134229185993890415e-02 1.114152000000000031e+00
2.180945121728470465e-02 1.091676000000000091e+00
2.228683671448790371e-02 1.048519999999999897e+00
2.277467095838639488e-02 9.899790000000000534e-01
2.327318386720582041e-02 9.224879999999999747e-01
2.378260869151607032e-02 8.523089999999999833e-01
2.430318396985316209e-02 7.845269999999999744e-01
2.483515418061077798e-02 7.212730000000000530e-01
2.537876860438217572e-02 6.607509999999999772e-01
2.593428185548686538e-02 5.987099999999999644e-01
2.650195524800330604e-02 5.318330000000000002e-01
2.708205410122367304e-02 4.606330000000000147e-01
2.767485116257483238e-02 3.896879999999999789e-01
2.828062296556268368e-02 3.256069999999999798e-01
2.889965516642458918e-02 2.743909999999999960e-01
2.953223712425469966e-02 2.397110000000000074e-01
3.017866585007221089e-02 2.228670000000000095e-01
3.083924344304486698e-02 2.233709999999999862e-01
3.151428172097601316e-02 2.388869999999999882e-01
3.220409460893151193e-02 2.657289999999999930e-01
3.290900679366954434e-02 3.012310000000000265e-01
3.362935008254323843e-02 3.457939999999999903e-01
3.436545982617606604e-02 4.022310000000000052e-01
3.511768145762538679e-02 4.731549999999999923e-01
3.588636982920923035e-02 5.579429999999999668e-01
3.667188287528685281e-02 6.508810000000000429e-01
3.747459035401046190e-02 7.426209999999999756e-01
3.829486888200696326e-02 8.244059999999999722e-01
3.913310161841203338e-02 8.921000000000000041e-01
3.998968266187323539e-02 9.469300000000000495e-01
4.086501260624340881e-02 9.920919999999999739e-01
4.175950326235679244e-02 1.028801000000000077e+00
4.267357455111880221e-02 1.055901999999999896e+00
4.360765235805109941e-02 1.072918999999999956e+00
4.456217573218773653e-02 1.081892000000000076e+00
4.553759360593897382e-02 1.084589999999999943e+00
4.653436264861679494e-02 1.079058999999999990e+00
4.755294901990994583e-02 1.061052000000000106e+00
4.859383060501651364e-02 1.028281000000000001e+00
4.965749734357217948e-02 9.827310000000000212e-01
5.074444382592605690e-02 9.301800000000000068e-01
5.185518671652646766e-02 8.781919999999999726e-01
5.299023919793973553e-02 8.334859999999999491e-01
5.415013688613103116e-02 7.998319999999999874e-01
5.533542508618215922e-02 7.776279999999999859e-01
5.654665825930951795e-02 7.648610000000000131e-01
5.778440269534190765e-02 7.581569999999999698e-01
5.904923992113619846e-02 7.531689999999999774e-01
6.034176368113722960e-02 7.449750000000000538e-01
6.166257977365023624e-02 7.296089999999999520e-01
6.301230579922413588e-02 7.057940000000000325e-01
6.439157495481964699e-02 6.749929999999999541e-01
6.580103648476649802e-02 6.399639999999999773e-01
6.724135160227064090e-02 6.031739999999999879e-01
6.871319291929786632e-02 5.660650000000000404e-01
7.021724865648072689e-02 5.294689999999999674e-01
7.175422799231455373e-02 4.945339999999999736e-01
7.332484622679873165e-02 4.630819999999999936e-01
7.492985067379918929e-02 4.368759999999999866e-01
7.656998328017844413e-02 4.164240000000000164e-01
7.824601847091161577e-02 4.006509999999999794e-01
7.995873489609482687e-02 3.876510000000000233e-01
8.170894587125514252e-02 3.754129999999999967e-01
8.349746848200181870e-02 3.619970000000000132e-01
8.532513483931059017e-02 3.459479999999999777e-01
8.719280666320453066e-02 3.273030000000000106e-01
8.910136197668877545e-02 3.080950000000000077e-01
9.105169441740208758e-02 2.915200000000000014e-01
9.304472101470850909e-02 2.800920000000000076e-01
9.508136492722282784e-02 2.737850000000000006e-01
9.716259003207046441e-02 2.694420000000000148e-01
9.928937600698042876e-02 2.622769999999999824e-01
1.014627169666056788e-01 2.487739999999999951e-01
1.036836198025345573e-01 2.290339999999999876e-01
1.059531470945422049e-01 2.067110000000000058e-01
1.082723426204657002e-01 1.867020000000000068e-01
1.106423073612318730e-01 1.726109999999999867e-01
1.130641434367904014e-01 1.656779999999999919e-01
1.155389888050807612e-01 1.651070000000000038e-01
1.180680199308263012e-01 1.687319999999999931e-01
1.206523964642573915e-01 1.737420000000000075e-01
1.232933427266421494e-01 1.775909999999999989e-01
1.259921091142061633e-01 1.786409999999999942e-01
1.287499385219043613e-01 1.759489999999999943e-01
1.315681276210838024e-01 1.685520000000000074e-01
1.344480149355610776e-01 1.553819999999999923e-01
1.373909270603933253e-01 1.365530000000000077e-01
1.403982677661723133e-01 1.150169999999999942e-01
1.434714465996406174e-01 9.679599999999999316e-02
1.466118729226930095e-01 8.893299999999999816e-02
1.498210387691902012e-01 9.584600000000000064e-02
1.531004603883944215e-01 1.161510000000000042e-01
1.564516759885790365e-01 1.423729999999999996e-01
1.598762174374112610e-01 1.642810000000000104e-01
1.633757347823671657e-01 1.742049999999999987e-01
1.669518482487836186e-01 1.711330000000000073e-01
1.706062493069121222e-01 1.606640000000000013e-01
1.743406480276755433e-01 1.508039999999999936e-01
1.781567686922972404e-01 1.470480000000000120e-01
1.820564109071452219e-01 1.504729999999999956e-01
1.860414236112984399e-01 1.588970000000000105e-01
1.901136708649468487e-01 1.687420000000000031e-01
1.942750635716576912e-01 1.762900000000000023e-01
1.985275213739692568e-01 1.785080000000000000e-01
2.028730886819132551e-01 1.736840000000000050e-01
2.073137384534022021e-01 1.620530000000000026e-01
2.118516148918974384e-01 1.463510000000000089e-01
2.164888283105038391e-01 1.314099999999999990e-01
2.212275340673810209e-01 1.225060000000000038e-01
2.260699835805370650e-01 1.235190000000000038e-01
2.310183752015635139e-01 1.356449999999999878e-01
2.360751096568884100e-01 1.567379999999999884e-01
2.412425341466744866e-01 1.814929999999999877e-01
2.465230998307618715e-01 2.029920000000000058e-01
2.519191833183147544e-01 2.153639999999999999e-01
2.574334553825345373e-01 2.161550000000000138e-01
2.630683822583526066e-01 2.069660000000000111e-01
2.688266710467492326e-01 1.923209999999999920e-01
2.747110108843249798e-01 1.776949999999999918e-01
2.807241335168895180e-01 1.674730000000000107e-01
2.868688920234096495e-01 1.633449999999999902e-01
2.931481028187655768e-01 1.637379999999999947e-01
2.995647922697904919e-01 1.647109999999999963e-01
3.061219491886544297e-01 1.618739999999999901e-01
3.128225983045015424e-01 1.525320000000000009e-01
3.196699982673885665e-01 1.369809999999999917e-01
3.266672524899394969e-01 1.180869999999999975e-01
3.338175913859038335e-01 9.942099999999999549e-02
3.411245032800827026e-01 8.333500000000000629e-02
3.485912903071751723e-01 7.020300000000000151e-02
3.562216425308692980e-01 5.915399999999999825e-02
3.640189144227933826e-01 4.945700000000000096e-02
3.719868599361595973e-01 4.121799999999999770e-02
3.801292743636255911e-01 3.502500000000000058e-02
3.884498326752345854e-01 3.120699999999999863e-02
3.969526737144291051e-01 2.926600000000000035e-02
4.056414997215270768e-01 2.772900000000000018e-02
4.145204868460213854e-01 2.449099999999999888e-02
4.235940173275368759e-01 1.756299999999999875e-02
4.328659535344370757e-01 6.022999999999999708e-03
4.423408678727827614e-01 -9.384999999999999246e-03
4.520233696082087693e-01 -2.662600000000000036e-02
4.619176604055267865e-01 -4.364500000000000324e-02
4.720285331807737017e-01 -5.942200000000000260e-02
4.823605567984378673e-01 -7.399999999999999634e-02
4.929189725005434508e-01 -8.778700000000000392e-02
5.037085542305222985e-01 -1.008209999999999940e-01
5.147340034826902722e-01 -1.124070000000000069e-01
5.260010193899755659e-01 -1.214299999999999963e-01
5.375147682182568332e-01 -1.271299999999999930e-01
5.492803329078241870e-01 -1.297059999999999880e-01
5.613033013614973088e-01 -1.302580000000000127e-01
5.735898580135665448e-01 -1.299750000000000072e-01
5.861448258358571417e-01 -1.290850000000000053e-01
5.989749143316128732e-01 -1.265890000000000071e-01
6.120861303119130570e-01 -1.212310000000000054e-01
6.254839682204105245e-01 -1.128939999999999944e-01
6.391749019026319312e-01 -1.031159999999999993e-01
6.531657310067570110e-01 -9.413799999999999946e-02
6.674631727194452191e-01 -8.720700000000000673e-02
6.820728740300071591e-01 -8.165300000000000336e-02
6.970030263871405118e-01 -7.565500000000000003e-02
7.122593364734473020e-01 -6.762799999999999367e-02
7.278502433567288765e-01 -5.671600000000000252e-02
7.437819826252529687e-01 -4.245399999999999868e-02
7.600626595656545526e-01 -2.477599999999999941e-02
7.766996323880640540e-01 -4.602000000000000188e-03
7.937005574159013976e-01 1.599799999999999833e-02
8.110740810733430006e-01 3.474499999999999811e-02
8.288272757110509703e-01 5.053900000000000059e-02
8.469695429752346350e-01 6.399100000000000621e-02
8.655086161382736787e-01 7.672600000000000253e-02
8.844540397880493732e-01 9.013400000000000578e-02
9.038134601323364326e-01 1.044439999999999952e-01
9.235972635660274488e-01 1.186340000000000033e-01
9.438138195107080852e-01 1.312270000000000103e-01
9.644726842046378312e-01 1.413760000000000017e-01
9.855838648094324972e-01 1.494340000000000113e-01
1.007156856623164121e+00 1.567070000000000130e-01
1.029202594413900052e+00 1.647220000000000073e-01
1.051730412046940843e+00 1.746379999999999877e-01
1.074752242739242414e+00 1.871539999999999870e-01
1.098277132661993116e+00 2.026890000000000081e-01
1.122316821060050707e+00 2.213749999999999885e-01
1.146883687643933891e+00 2.429939999999999878e-01
1.171988078537265165e+00 2.672260000000000191e-01
1.197640647923590596e+00 2.941639999999999810e-01
1.223856887071053556e+00 3.245529999999999804e-01
1.250645645814651763e+00 3.594319999999999737e-01
1.278020601692099190e+00 3.991529999999999800e-01
1.305994514823037633e+00 4.420350000000000112e-01
1.334582502555725414e+00 4.834840000000000249e-01
1.363795059788775355e+00 5.170179999999999776e-01
1.393646643680787944e+00 5.374999999999999778e-01
1.424152486855072564e+00 5.444890000000000008e-01
1.455324450032890349e+00 5.430469999999999464e-01
1.487179029585939727e+00 5.417229999999999546e-01
1.519733742648287977e+00 5.490650000000000253e-01
1.552997595959721311e+00 5.701239999999999641e-01
1.586991746055928854e+00 6.044500000000000428e-01
1.621728568046108876e+00 6.468300000000000161e-01
1.657226002538870313e+00 6.904280000000000417e-01
1.693503044918474698e+00 7.300980000000000247e-01
1.730570880722132499e+00 7.638979999999999659e-01
1.768449794594556090e+00 7.928650000000000420e-01
1.807161419272292235e+00 8.201140000000000096e-01
1.846718657952616915e+00 8.497580000000000133e-01
1.887141395956233536e+00 8.856819999999999693e-01
1.928446905999783967e+00 9.302869999999999751e-01
1.970660801980119947e+00 9.835840000000000138e-01
2.013794492272063863e+00 1.042940999999999896e+00
2.057875696076454375e+00 1.103703000000000101e+00
2.102921167794182811e+00 1.160433000000000048e+00
2.148947875120341244e+00 1.208188000000000040e+00
2.195987491655247315e+00 1.243702000000000085e+00
2.244054377925685628e+00 1.266339000000000103e+00
2.293172994677545429e+00 1.278156999999999988e+00
2.343369202504593130e+00 1.282663000000000109e+00
2.394664687077192156e+00 1.283166999999999947e+00
2.447081854888045971e+00 1.282062999999999953e+00
2.500643915808320461e+00 1.281088000000000005e+00
2.555381505681890708e+00 1.281450999999999896e+00
2.611313778074887182e+00 1.283627999999999991e+00
2.668474113132628389e+00 1.287145999999999901e+00
2.726883526623927079e+00 1.290372999999999992e+00
2.786570957242854973e+00 1.290740999999999916e+00
2.847566896465314912e+00 1.285849999999999937e+00
2.909895098281706893e+00 1.274680000000000035e+00
2.973597428432943612e+00 1.257943000000000033e+00
3.038682427299522981e+00 1.237373999999999974e+00
3.105194680180473732e+00 1.214444000000000079e+00
3.173162659491088000e+00 1.189435999999999938e+00
3.242626267866870915e+00 1.161656000000000022e+00
3.313595350363004233e+00 1.130533000000000010e+00
3.386134456627003964e+00 1.096641999999999895e+00
3.460243531939777739e+00 1.061841000000000035e+00
3.535992871438371044e+00 1.028356000000000048e+00
3.613382523514086397e+00 9.976730000000000320e-01
3.692475841976804229e+00 9.699010000000000131e-01
3.773300128292204736e+00 9.439459999999999518e-01
3.855897402281920350e+00 9.184250000000000469e-01
3.940296625529969621e+00 8.926570000000000338e-01
4.026542971266589888e+00 8.670919999999999739e-01
4.114684485993613805e+00 8.430729999999999613e-01
4.204754736656211023e+00 8.222460000000000324e-01
4.296787721499407020e+00 8.058549999999999880e-01
4.390837200929101236e+00 7.941669999999999563e-01
4.486960891648868355e+00 7.862909999999999622e-01
4.585157844058781684e+00 7.803520000000000456e-01
4.685530612914259763e+00 7.738850000000000451e-01
4.788102522851219511e+00 7.643280000000000074e-01
4.892894538551115780e+00 7.496369999999999978e-01
