# period(s) Vg(km/s)
1.100000000000000089e+00 1.064699999999999980e+00
1.000000000000000000e+00 1.197009999999999907e+00
9.000000000000000222e-01 1.330500000000000016e+00
8.000000000000000444e-01 1.302959999999999896e+00
6.999999999999999556e-01 1.252629999999999910e+00
5.999999999999999778e-01 1.298159999999999981e+00
5.000000000000000000e-01 1.231190000000000007e+00
4.000000000000000222e-01 1.328740000000000032e+00
2.999999999999999889e-01 1.236539999999999973e+00
