# period(s) Vg(km/s)
1.100000000000000089e+00 1.430539999999999923e+00
1.000000000000000000e+00 1.432909999999999906e+00
9.000000000000000222e-01 1.413319999999999910e+00
8.000000000000000444e-01 1.418709999999999916e+00
6.999999999999999556e-01 1.423100000000000032e+00
5.999999999999999778e-01 1.526580000000000048e+00
5.000000000000000000e-01 1.538249999999999895e+00
4.000000000000000222e-01 1.445389999999999953e+00
2.999999999999999889e-01 1.421280000000000099e+00
