# period(s) Vg(km/s)
1.100000000000000089e+00 1.548130000000000006e+00
1.000000000000000000e+00 1.487889999999999935e+00
9.000000000000000222e-01 1.329749999999999988e+00
8.000000000000000444e-01 1.438029999999999919e+00
6.999999999999999556e-01 1.348109999999999919e+00
5.999999999999999778e-01 1.363499999999999934e+00
5.000000000000000000e-01 1.388740000000000085e+00
4.000000000000000222e-01 1.403620000000000090e+00
2.999999999999999889e-01 1.282790000000000097e+00
