# period(s) Vg(km/s)
1.100000000000000089e+00 7.590099999999999625e-01
1.000000000000000000e+00 7.509799999999999809e-01
9.000000000000000222e-01 7.903999999999999915e-01
8.000000000000000444e-01 7.578200000000000491e-01
6.999999999999999556e-01 9.529300000000000548e-01
5.999999999999999778e-01 9.331599999999999895e-01
5.000000000000000000e-01 7.767199999999999660e-01
4.000000000000000222e-01 8.019100000000000117e-01
2.999999999999999889e-01 7.718399999999999705e-01
