# frequency(Hz) HVamp
2.000000000000000042e-02 1.769940000000000069e+00
2.043777802275861116e-02 1.806731000000000087e+00
2.088513892042544867e-02 1.820502999999999982e+00
2.134229185993890415e-02 1.804172000000000109e+00
2.180945121728470465e-02 1.761673000000000044e+00
2.228683671448790371e-02 1.702763999999999944e+00
2.277467095838639488e-02 1.637664000000000009e+00
2.327318386720582041e-02 1.574766000000000110e+00
2.378260869151607032e-02 1.521600999999999981e+00
2.430318396985316209e-02 1.486734000000000000e+00
2.483515418061077798e-02 1.477985000000000104e+00
2.537876860438217572e-02 1.498131000000000101e+00
2.593428185548686538e-02 1.541705000000000103e+00
2.650195524800330604e-02 1.594746999999999915e+00
2.708205410122367304e-02 1.640141000000000071e+00
2.767485116257483238e-02 1.669060999999999906e+00
2.828062296556268368e-02 1.688333000000000084e+00
2.889965516642458918e-02 1.712814999999999976e+00
2.953223712425469966e-02 1.750756999999999897e+00
3.017866585007221089e-02 1.796785999999999994e+00
3.083924344304486698e-02 1.835944999999999938e+00
3.151428172097601316e-02 1.853591999999999906e+00
3.220409460893151193e-02 1.844092999999999982e+00
3.290900679366954434e-02 1.812837999999999949e+00
3.362935008254323843e-02 1.770888000000000018e+00
3.436545982617606604e-02 1.727316999999999991e+00
3.511768145762538679e-02 1.685443000000000024e+00
3.588636982920923035e-02 1.644646000000000052e+00
3.667188287528685281e-02 1.605019999999999891e+00
3.747459035401046190e-02 1.569900999999999991e+00
3.829486888200696326e-02 1.543279999999999985e+00
3.913310161841203338e-02 1.525482999999999922e+00
3.998968266187323539e-02 1.512022999999999895e+00
4.086501260624340881e-02 1.496343999999999896e+00
4.175950326235679244e-02 1.474704999999999933e+00
4.267357455111880221e-02 1.449724999999999930e+00
4.360765235805109941e-02 1.428010000000000002e+00
4.456217573218773653e-02 1.412643000000000093e+00
4.553759360593897382e-02 1.398690999999999907e+00
4.653436264861679494e-02 1.376792000000000016e+00
4.755294901990994583e-02 1.341396999999999951e+00
4.859383060501651364e-02 1.296696999999999989e+00
4.965749734357217948e-02 1.254675999999999902e+00
5.074444382592605690e-02 1.225919999999999899e+00
5.185518671652646766e-02 1.212533000000000083e+00
5.299023919793973553e-02 1.208434000000000008e+00
5.415013688613103116e-02 1.203527999999999931e+00
5.533542508618215922e-02 1.188357000000000108e+00
5.654665825930951795e-02 1.157874999999999988e+00
5.778440269534190765e-02 1.113358999999999988e+00
5.904923992113619846e-02 1.062208999999999959e+00
6.034176368113722960e-02 1.015717999999999899e+00
6.166257977365023624e-02 9.852880000000000527e-01
6.301230579922413588e-02 9.789799999999999613e-01
6.439157495481964699e-02 9.985349999999999504e-01
6.580103648476649802e-02 1.037489000000000106e+00
6.724135160227064090e-02 1.082071000000000005e+00
6.871319291929786632e-02 1.115223000000000075e+00
7.021724865648072689e-02 1.123377999999999988e+00
7.175422799231455373e-02 1.103685999999999945e+00
7.332484622679873165e-02 1.066036999999999901e+00
7.492985067379918929e-02 1.026928999999999981e+00
7.656998328017844413e-02 1.000161000000000078e+00
7.824601847091161577e-02 9.915680000000000049e-01
7.995873489609482687e-02 9.995239999999999680e-01
8.170894587125514252e-02 1.018386000000000013e+00
8.349746848200181870e-02 1.042148000000000074e+00
8.532513483931059017e-02 1.066556000000000060e+00
8.719280666320453066e-02 1.088954999999999895e+00
8.910136197668877545e-02 1.106788000000000105e+00
9.105169441740208758e-02 1.116956000000000060e+00
9.304472101470850909e-02 1.117299999999999960e+00
9.508136492722282784e-02 1.108795999999999893e+00
9.716259003207046441e-02 1.095812999999999926e+00
9.928937600698042876e-02 1.084170999999999996e+00
1.014627169666056788e-01 1.078492999999999924e+00
1.036836198025345573e-01 1.080149999999999944e+00
1.059531470945422049e-01 1.086684999999999901e+00
1.082723426204657002e-01 1.092816999999999927e+00
1.106423073612318730e-01 1.092503000000000002e+00
1.130641434367904014e-01 1.081460000000000088e+00
1.155389888050807612e-01 1.059290999999999983e+00
1.180680199308263012e-01 1.029981000000000035e+00
1.206523964642573915e-01 1.000426000000000037e+00
1.232933427266421494e-01 9.781670000000000087e-01
1.259921091142061633e-01 9.693150000000000377e-01
1.287499385219043613e-01 9.767010000000000414e-01
1.315681276210838024e-01 9.987800000000000011e-01
1.344480149355610776e-01 1.030283999999999978e+00
1.373909270603933253e-01 1.064591999999999983e+00
1.403982677661723133e-01 1.096378000000000075e+00
1.434714465996406174e-01 1.122835999999999945e+00
1.466118729226930095e-01 1.142875000000000085e+00
1.498210387691902012e-01 1.155553000000000052e+00
1.531004603883944215e-01 1.159542999999999990e+00
1.564516759885790365e-01 1.153758999999999979e+00
1.598762174374112610e-01 1.138104000000000005e+00
1.633757347823671657e-01 1.113954000000000111e+00
1.669518482487836186e-01 1.084459999999999980e+00
1.706062493069121222e-01 1.054254000000000024e+00
1.743406480276755433e-01 1.028340000000000032e+00
1.781567686922972404e-01 1.010750000000000037e+00
1.820564109071452219e-01 1.003314000000000039e+00
1.860414236112984399e-01 1.004633000000000109e+00
1.901136708649468487e-01 1.010192999999999897e+00
1.942750635716576912e-01 1.014626999999999946e+00
1.985275213739692568e-01 1.014858999999999956e+00
2.028730886819132551e-01 1.011109000000000036e+00
2.073137384534022021e-01 1.004788000000000014e+00
2.118516148918974384e-01 9.958439999999999515e-01
2.164888283105038391e-01 9.823939999999999895e-01
2.212275340673810209e-01 9.628670000000000284e-01
2.260699835805370650e-01 9.384949999999999681e-01
2.310183752015635139e-01 9.138399999999999856e-01
2.360751096568884100e-01 8.947100000000000053e-01
2.412425341466744866e-01 8.849770000000000136e-01
2.465230998307618715e-01 8.846969999999999557e-01
2.519191833183147544e-01 8.906439999999999912e-01
2.574334553825345373e-01 8.983109999999999706e-01
2.630683822583526066e-01 9.040470000000000450e-01
2.688266710467492326e-01 9.063320000000000265e-01
2.747110108843249798e-01 9.055940000000000101e-01
2.807241335168895180e-01 9.029239999999999489e-01
2.868688920234096495e-01 8.989930000000000421e-01
2.931481028187655768e-01 8.938869999999999871e-01
2.995647922697904919e-01 8.875819999999999821e-01
3.061219491886544297e-01 8.802879999999999594e-01
3.128225983045015424e-01 8.722720000000000473e-01
3.196699982673885665e-01 8.635230000000000405e-01
3.266672524899394969e-01 8.538189999999999946e-01
3.338175913859038335e-01 8.430870000000000308e-01
3.411245032800827026e-01 8.315500000000000114e-01
3.485912903071751723e-01 8.195369999999999600e-01
3.562216425308692980e-01 8.072719999999999896e-01
3.640189144227933826e-01 7.948600000000000110e-01
3.719868599361595973e-01 7.825149999999999606e-01
3.801292743636255911e-01 7.706290000000000084e-01
3.884498326752345854e-01 7.594530000000000447e-01
