# frequency(Hz) HVamp
2.000000000000000042e-02 1.435413000000000050e+00
2.043777802275861116e-02 1.430754000000000081e+00
2.088513892042544867e-02 1.423675000000000024e+00
2.134229185993890415e-02 1.414725000000000010e+00
2.180945121728470465e-02 1.405564999999999953e+00
2.228683671448790371e-02 1.398652000000000006e+00
2.277467095838639488e-02 1.396155000000000035e+00
2.327318386720582041e-02 1.399203999999999892e+00
2.378260869151607032e-02 1.407237000000000071e+00
2.430318396985316209e-02 1.417378000000000027e+00
2.483515418061077798e-02 1.426241000000000092e+00
2.537876860438217572e-02 1.432183999999999902e+00
2.593428185548686538e-02 1.435511999999999899e+00
2.650195524800330604e-02 1.437494999999999967e+00
2.708205410122367304e-02 1.439737000000000045e+00
2.767485116257483238e-02 1.443948999999999927e+00
2.828062296556268368e-02 1.451483999999999996e+00
2.889965516642458918e-02 1.462526999999999910e+00
2.953223712425469966e-02 1.475492000000000026e+00
3.017866585007221089e-02 1.487238000000000060e+00
3.083924344304486698e-02 1.494772999999999907e+00
3.151428172097601316e-02 1.497295999999999960e+00
3.220409460893151193e-02 1.496461000000000041e+00
3.290900679366954434e-02 1.494798000000000071e+00
3.362935008254323843e-02 1.493856000000000073e+00
3.436545982617606604e-02 1.493133000000000044e+00
3.511768145762538679e-02 1.489784999999999915e+00
3.588636982920923035e-02 1.479764999999999997e+00
3.667188287528685281e-02 1.460701000000000027e+00
3.747459035401046190e-02 1.434142000000000028e+00
3.829486888200696326e-02 1.404524000000000106e+00
3.913310161841203338e-02 1.376543000000000072e+00
3.998968266187323539e-02 1.353922999999999988e+00
4.086501260624340881e-02 1.339507000000000003e+00
4.175950326235679244e-02 1.335402999999999896e+00
4.267357455111880221e-02 1.342573999999999934e+00
4.360765235805109941e-02 1.359890000000000043e+00
4.456217573218773653e-02 1.384065000000000101e+00
4.553759360593897382e-02 1.411853000000000025e+00
4.653436264861679494e-02 1.441970999999999892e+00
4.755294901990994583e-02 1.474671999999999983e+00
4.859383060501651364e-02 1.509956999999999994e+00
4.965749734357217948e-02 1.545144999999999991e+00
5.074444382592605690e-02 1.575353999999999921e+00
5.185518671652646766e-02 1.596994999999999942e+00
5.299023919793973553e-02 1.609799999999999898e+00
5.415013688613103116e-02 1.616486000000000089e+00
5.533542508618215922e-02 1.621321000000000012e+00
5.654665825930951795e-02 1.628910999999999998e+00
5.778440269534190765e-02 1.642821000000000087e+00
5.904923992113619846e-02 1.663629999999999942e+00
6.034176368113722960e-02 1.687840000000000007e+00
6.166257977365023624e-02 1.709302000000000099e+00
6.301230579922413588e-02 1.722215999999999969e+00
6.439157495481964699e-02 1.724110000000000031e+00
6.580103648476649802e-02 1.717359000000000080e+00
6.724135160227064090e-02 1.707581000000000016e+00
6.871319291929786632e-02 1.700099000000000027e+00
7.021724865648072689e-02 1.697586999999999957e+00
7.175422799231455373e-02 1.700320000000000054e+00
7.332484622679873165e-02 1.707020999999999900e+00
7.492985067379918929e-02 1.714177000000000062e+00
7.656998328017844413e-02 1.715842000000000089e+00
7.824601847091161577e-02 1.705943999999999905e+00
7.995873489609482687e-02 1.680922999999999945e+00
8.170894587125514252e-02 1.640911999999999926e+00
8.349746848200181870e-02 1.589809999999999945e+00
8.532513483931059017e-02 1.534664999999999946e+00
8.719280666320453066e-02 1.483972999999999987e+00
8.910136197668877545e-02 1.444452000000000069e+00
9.105169441740208758e-02 1.417928000000000077e+00
9.304472101470850909e-02 1.401172000000000084e+00
9.508136492722282784e-02 1.389580000000000037e+00
9.716259003207046441e-02 1.380956999999999990e+00
9.928937600698042876e-02 1.375548999999999911e+00
1.014627169666056788e-01 1.373888999999999916e+00
1.036836198025345573e-01 1.375626000000000015e+00
1.059531470945422049e-01 1.379669999999999952e+00
1.082723426204657002e-01 1.385024999999999951e+00
1.106423073612318730e-01 1.391394999999999937e+00
1.130641434367904014e-01 1.398859999999999992e+00
1.155389888050807612e-01 1.406976000000000004e+00
1.180680199308263012e-01 1.414203000000000099e+00
1.206523964642573915e-01 1.418141000000000096e+00
1.232933427266421494e-01 1.416614999999999958e+00
1.259921091142061633e-01 1.409267999999999965e+00
1.287499385219043613e-01 1.398352000000000039e+00
1.315681276210838024e-01 1.387669999999999959e+00
1.344480149355610776e-01 1.380379999999999940e+00
1.373909270603933253e-01 1.377599999999999936e+00
1.403982677661723133e-01 1.378883000000000081e+00
1.434714465996406174e-01 1.383499000000000034e+00
1.466118729226930095e-01 1.390911999999999926e+00
1.498210387691902012e-01 1.400422999999999973e+00
1.531004603883944215e-01 1.410930999999999935e+00
1.564516759885790365e-01 1.421122999999999914e+00
1.598762174374112610e-01 1.429810000000000025e+00
1.633757347823671657e-01 1.436449000000000087e+00
1.669518482487836186e-01 1.441697000000000006e+00
1.706062493069121222e-01 1.447117999999999904e+00
1.743406480276755433e-01 1.453810000000000047e+00
1.781567686922972404e-01 1.460971000000000020e+00
1.820564109071452219e-01 1.465934000000000070e+00
1.860414236112984399e-01 1.465999000000000052e+00
1.901136708649468487e-01 1.460464999999999902e+00
1.942750635716576912e-01 1.451121000000000105e+00
1.985275213739692568e-01 1.440846000000000071e+00
2.028730886819132551e-01 1.431712000000000096e+00
2.073137384534022021e-01 1.424406999999999979e+00
2.118516148918974384e-01 1.419186000000000059e+00
2.164888283105038391e-01 1.416609999999999925e+00
2.212275340673810209e-01 1.417013000000000078e+00
2.260699835805370650e-01 1.419268999999999892e+00
2.310183752015635139e-01 1.420361999999999902e+00
2.360751096568884100e-01 1.416673999999999989e+00
2.412425341466744866e-01 1.406015000000000015e+00
2.465230998307618715e-01 1.388681000000000054e+00
2.519191833183147544e-01 1.367080000000000073e+00
2.574334553825345373e-01 1.344664999999999999e+00
2.630683822583526066e-01 1.324804000000000093e+00
2.688266710467492326e-01 1.310035000000000061e+00
2.747110108843249798e-01 1.301908000000000065e+00
2.807241335168895180e-01 1.301042000000000032e+00
2.868688920234096495e-01 1.306915999999999967e+00
2.931481028187655768e-01 1.317647999999999930e+00
2.995647922697904919e-01 1.330481000000000025e+00
3.061219491886544297e-01 1.343048000000000020e+00
3.128225983045015424e-01 1.354470000000000063e+00
3.196699982673885665e-01 1.364996000000000098e+00
3.266672524899394969e-01 1.374244999999999939e+00
3.338175913859038335e-01 1.380198999999999954e+00
3.411245032800827026e-01 1.380611000000000033e+00
3.485912903071751723e-01 1.375237999999999960e+00
3.562216425308692980e-01 1.366398000000000001e+00
3.640189144227933826e-01 1.357563999999999993e+00
3.719868599361595973e-01 1.351317000000000101e+00
3.801292743636255911e-01 1.347981000000000096e+00
3.884498326752345854e-01 1.345777000000000001e+00
3.969526737144291051e-01 1.342352999999999907e+00
4.056414997215270768e-01 1.336548999999999987e+00
4.145204868460213854e-01 1.328994999999999926e+00
4.235940173275368759e-01 1.321077999999999975e+00
4.328659535344370757e-01 1.313514000000000070e+00
4.423408678727827614e-01 1.305962999999999985e+00
4.520233696082087693e-01 1.297695999999999961e+00
4.619176604055267865e-01 1.288629000000000024e+00
4.720285331807737017e-01 1.279811000000000032e+00
4.823605567984378673e-01 1.272907999999999928e+00
4.929189725005434508e-01 1.269546999999999981e+00
5.037085542305222985e-01 1.271290999999999949e+00
5.147340034826902722e-01 1.279565000000000063e+00
5.260010193899755659e-01 1.294764999999999944e+00
5.375147682182568332e-01 1.315185999999999966e+00
5.492803329078241870e-01 1.337117000000000111e+00
