# frequency(Hz) HVamp
2.000000000000000042e-02 1.468247999999999998e+00
2.043777802275861116e-02 1.445921999999999930e+00
2.088513892042544867e-02 1.423953000000000024e+00
2.134229185993890415e-02 1.403138999999999914e+00
2.180945121728470465e-02 1.383415000000000061e+00
2.228683671448790371e-02 1.363976000000000077e+00
2.277467095838639488e-02 1.343895000000000062e+00
2.327318386720582041e-02 1.322370999999999963e+00
2.378260869151607032e-02 1.299131999999999953e+00
2.430318396985316209e-02 1.275087999999999999e+00
2.483515418061077798e-02 1.252026000000000083e+00
2.537876860438217572e-02 1.231171000000000015e+00
2.593428185548686538e-02 1.212417999999999996e+00
2.650195524800330604e-02 1.194768000000000052e+00
2.708205410122367304e-02 1.177024999999999988e+00
2.767485116257483238e-02 1.158430000000000071e+00
2.828062296556268368e-02 1.139472999999999958e+00
2.889965516642458918e-02 1.122621000000000091e+00
2.953223712425469966e-02 1.111431000000000058e+00
3.017866585007221089e-02 1.107957999999999998e+00
3.083924344304486698e-02 1.111353999999999953e+00
3.151428172097601316e-02 1.118760999999999894e+00
3.220409460893151193e-02 1.126883000000000079e+00
3.290900679366954434e-02 1.133121999999999963e+00
3.362935008254323843e-02 1.136034999999999906e+00
3.436545982617606604e-02 1.135064999999999991e+00
3.511768145762538679e-02 1.130104999999999915e+00
3.588636982920923035e-02 1.121445000000000025e+00
3.667188287528685281e-02 1.109928999999999943e+00
3.747459035401046190e-02 1.097032000000000007e+00
3.829486888200696326e-02 1.084735999999999922e+00
3.913310161841203338e-02 1.075045000000000028e+00
3.998968266187323539e-02 1.069341000000000097e+00
4.086501260624340881e-02 1.067806000000000033e+00
4.175950326235679244e-02 1.069225000000000092e+00
4.267357455111880221e-02 1.071644999999999959e+00
4.360765235805109941e-02 1.073852000000000029e+00
4.456217573218773653e-02 1.076670000000000016e+00
4.553759360593897382e-02 1.082497999999999960e+00
4.653436264861679494e-02 1.093131999999999993e+00
4.755294901990994583e-02 1.107914999999999983e+00
4.859383060501651364e-02 1.123836999999999975e+00
4.965749734357217948e-02 1.137833000000000094e+00
5.074444382592605690e-02 1.149412000000000100e+00
5.185518671652646766e-02 1.160612999999999895e+00
5.299023919793973553e-02 1.173836000000000102e+00
5.415013688613103116e-02 1.190743000000000107e+00
5.533542508618215922e-02 1.212504000000000026e+00
5.654665825930951795e-02 1.239697000000000049e+00
5.778440269534190765e-02 1.271374000000000004e+00
5.904923992113619846e-02 1.304561999999999999e+00
6.034176368113722960e-02 1.336205000000000087e+00
6.166257977365023624e-02 1.366740000000000066e+00
6.301230579922413588e-02 1.399785999999999975e+00
6.439157495481964699e-02 1.438133000000000106e+00
6.580103648476649802e-02 1.481403999999999943e+00
6.724135160227064090e-02 1.525773999999999964e+00
6.871319291929786632e-02 1.564381999999999939e+00
7.021724865648072689e-02 1.589148999999999923e+00
7.175422799231455373e-02 1.594105000000000105e+00
7.332484622679873165e-02 1.578138999999999958e+00
7.492985067379918929e-02 1.545322000000000084e+00
7.656998328017844413e-02 1.503080999999999889e+00
7.824601847091161577e-02 1.459140000000000104e+00
7.995873489609482687e-02 1.418924999999999992e+00
8.170894587125514252e-02 1.385045999999999999e+00
8.349746848200181870e-02 1.358108000000000093e+00
8.532513483931059017e-02 1.337345000000000006e+00
8.719280666320453066e-02 1.320656999999999970e+00
8.910136197668877545e-02 1.305088999999999944e+00
9.105169441740208758e-02 1.288278000000000034e+00
9.304472101470850909e-02 1.269654000000000060e+00
9.508136492722282784e-02 1.250215000000000076e+00
9.716259003207046441e-02 1.231697000000000042e+00
9.928937600698042876e-02 1.215985000000000094e+00
1.014627169666056788e-01 1.204356999999999900e+00
1.036836198025345573e-01 1.196595999999999993e+00
1.059531470945422049e-01 1.191032000000000091e+00
1.082723426204657002e-01 1.185848000000000013e+00
1.106423073612318730e-01 1.180263000000000062e+00
1.130641434367904014e-01 1.174444000000000043e+00
1.155389888050807612e-01 1.168711999999999973e+00
1.180680199308263012e-01 1.163153000000000103e+00
1.206523964642573915e-01 1.157758999999999983e+00
1.232933427266421494e-01 1.152622999999999953e+00
1.259921091142061633e-01 1.147790000000000088e+00
1.287499385219043613e-01 1.143080000000000096e+00
1.315681276210838024e-01 1.138495000000000035e+00
1.344480149355610776e-01 1.134797999999999973e+00
1.373909270603933253e-01 1.133224000000000009e+00
1.403982677661723133e-01 1.134341000000000044e+00
1.434714465996406174e-01 1.137297000000000002e+00
1.466118729226930095e-01 1.140285999999999911e+00
1.498210387691902012e-01 1.141774999999999984e+00
1.531004603883944215e-01 1.141380999999999979e+00
1.564516759885790365e-01 1.139842000000000022e+00
1.598762174374112610e-01 1.138452999999999937e+00
1.633757347823671657e-01 1.138425999999999938e+00
1.669518482487836186e-01 1.140452999999999939e+00
1.706062493069121222e-01 1.144817999999999891e+00
1.743406480276755433e-01 1.151964999999999906e+00
1.781567686922972404e-01 1.162633000000000028e+00
1.820564109071452219e-01 1.177221000000000073e+00
1.860414236112984399e-01 1.195278000000000063e+00
1.901136708649468487e-01 1.215848999999999958e+00
1.942750635716576912e-01 1.238193000000000099e+00
1.985275213739692568e-01 1.262030999999999903e+00
2.028730886819132551e-01 1.287274999999999947e+00
2.073137384534022021e-01 1.313665000000000083e+00
2.118516148918974384e-01 1.340557999999999916e+00
2.164888283105038391e-01 1.367070000000000007e+00
2.212275340673810209e-01 1.392522999999999955e+00
2.260699835805370650e-01 1.416900999999999966e+00
2.310183752015635139e-01 1.441187999999999914e+00
2.360751096568884100e-01 1.467473999999999945e+00
2.412425341466744866e-01 1.498188000000000075e+00
2.465230998307618715e-01 1.534483999999999959e+00
2.519191833183147544e-01 1.575156000000000001e+00
2.574334553825345373e-01 1.616959999999999953e+00
2.630683822583526066e-01 1.655790000000000095e+00
2.688266710467492326e-01 1.687820000000000098e+00
2.747110108843249798e-01 1.710166999999999993e+00
2.807241335168895180e-01 1.721068999999999960e+00
2.868688920234096495e-01 1.719862000000000002e+00
2.931481028187655768e-01 1.707290999999999892e+00
2.995647922697904919e-01 1.685921000000000003e+00
3.061219491886544297e-01 1.659875999999999907e+00
3.128225983045015424e-01 1.633785999999999961e+00
3.196699982673885665e-01 1.611285999999999996e+00
3.266672524899394969e-01 1.593706000000000067e+00
3.338175913859038335e-01 1.579808000000000101e+00
3.411245032800827026e-01 1.566993999999999998e+00
3.485912903071751723e-01 1.553412000000000015e+00
3.562216425308692980e-01 1.539566999999999908e+00
3.640189144227933826e-01 1.528046999999999933e+00
3.719868599361595973e-01 1.521511999999999976e+00
3.801292743636255911e-01 1.520698000000000105e+00
3.884498326752345854e-01 1.523743000000000070e+00
3.969526737144291051e-01 1.527025999999999994e+00
4.056414997215270768e-01 1.527287999999999979e+00
4.145204868460213854e-01 1.524067999999999978e+00
4.235940173275368759e-01 1.520696000000000048e+00
4.328659535344370757e-01 1.522636000000000100e+00
4.423408678727827614e-01 1.534121000000000068e+00
4.520233696082087693e-01 1.555730999999999975e+00
4.619176604055267865e-01 1.584565999999999919e+00
4.720285331807737017e-01 1.616300000000000070e+00
4.823605567984378673e-01 1.647559999999999913e+00
4.929189725005434508e-01 1.677435000000000009e+00
5.037085542305222985e-01 1.707143000000000077e+00
5.147340034826902722e-01 1.737762000000000029e+00
5.260010193899755659e-01 1.767633000000000010e+00
