# frequency(Hz) HVamp
2.000000000000000042e-02 1.942198000000000091e+00
2.043777802275861116e-02 2.013748999999999789e+00
2.088513892042544867e-02 2.081256000000000217e+00
2.134229185993890415e-02 2.137745999999999924e+00
2.180945121728470465e-02 2.179905000000000204e+00
2.228683671448790371e-02 2.211847000000000119e+00
2.277467095838639488e-02 2.245702999999999783e+00
2.327318386720582041e-02 2.297152999999999778e+00
2.378260869151607032e-02 2.377931999999999935e+00
2.430318396985316209e-02 2.488170000000000215e+00
2.483515418061077798e-02 2.610634000000000121e+00
2.537876860438217572e-02 2.712771000000000043e+00
2.593428185548686538e-02 2.761063000000000045e+00
2.650195524800330604e-02 2.740203000000000166e+00
2.708205410122367304e-02 2.662148000000000181e+00
2.767485116257483238e-02 2.556887999999999828e+00
2.828062296556268368e-02 2.452210000000000001e+00
2.889965516642458918e-02 2.359980000000000189e+00
2.953223712425469966e-02 2.277588999999999864e+00
3.017866585007221089e-02 2.197719000000000200e+00
3.083924344304486698e-02 2.116201000000000221e+00
3.151428172097601316e-02 2.033990999999999882e+00
3.220409460893151193e-02 1.955338999999999938e+00
3.290900679366954434e-02 1.885320000000000107e+00
3.362935008254323843e-02 1.828043000000000085e+00
3.436545982617606604e-02 1.785560999999999954e+00
3.511768145762538679e-02 1.757355000000000000e+00
3.588636982920923035e-02 1.740356999999999932e+00
3.667188287528685281e-02 1.729678999999999967e+00
3.747459035401046190e-02 1.720086999999999922e+00
3.829486888200696326e-02 1.707665999999999906e+00
3.913310161841203338e-02 1.690963999999999912e+00
3.998968266187323539e-02 1.671291000000000082e+00
4.086501260624340881e-02 1.652026999999999912e+00
4.175950326235679244e-02 1.636908999999999947e+00
4.267357455111880221e-02 1.627799999999999914e+00
4.360765235805109941e-02 1.623170000000000002e+00
4.456217573218773653e-02 1.618727000000000027e+00
4.553759360593897382e-02 1.609996999999999900e+00
4.653436264861679494e-02 1.594819999999999904e+00
4.755294901990994583e-02 1.573442999999999925e+00
4.859383060501651364e-02 1.547174000000000049e+00
4.965749734357217948e-02 1.517859000000000069e+00
5.074444382592605690e-02 1.486661000000000010e+00
5.185518671652646766e-02 1.453194000000000097e+00
5.299023919793973553e-02 1.416358000000000006e+00
5.415013688613103116e-02 1.375126000000000071e+00
5.533542508618215922e-02 1.328646999999999911e+00
5.654665825930951795e-02 1.276467999999999936e+00
5.778440269534190765e-02 1.219737999999999989e+00
5.904923992113619846e-02 1.162584999999999980e+00
6.034176368113722960e-02 1.111533000000000104e+00
6.166257977365023624e-02 1.072502000000000066e+00
6.301230579922413588e-02 1.048049999999999926e+00
6.439157495481964699e-02 1.036412000000000111e+00
6.580103648476649802e-02 1.032645000000000035e+00
6.724135160227064090e-02 1.031187999999999994e+00
6.871319291929786632e-02 1.028073999999999932e+00
7.021724865648072689e-02 1.021830000000000016e+00
7.175422799231455373e-02 1.013214000000000059e+00
7.332484622679873165e-02 1.004280999999999979e+00
7.492985067379918929e-02 9.971579999999999888e-01
7.656998328017844413e-02 9.928839999999999888e-01
7.824601847091161577e-02 9.911039999999999850e-01
7.995873489609482687e-02 9.908529999999999838e-01
8.170894587125514252e-02 9.914500000000000535e-01
8.349746848200181870e-02 9.926160000000000538e-01
8.532513483931059017e-02 9.939559999999999507e-01
8.719280666320453066e-02 9.946859999999999591e-01
8.910136197668877545e-02 9.939409999999999634e-01
9.105169441740208758e-02 9.912619999999999765e-01
9.304472101470850909e-02 9.869050000000000322e-01
9.508136492722282784e-02 9.816340000000000066e-01
9.716259003207046441e-02 9.759189999999999809e-01
9.928937600698042876e-02 9.694279999999999564e-01
1.014627169666056788e-01 9.613019999999999898e-01
1.036836198025345573e-01 9.508910000000000418e-01
1.059531470945422049e-01 9.383610000000000007e-01
1.082723426204657002e-01 9.246400000000000174e-01
1.106423073612318730e-01 9.107920000000000460e-01
1.130641434367904014e-01 8.972989999999999577e-01
1.155389888050807612e-01 8.837169999999999748e-01
1.180680199308263012e-01 8.691449999999999454e-01
1.206523964642573915e-01 8.533100000000000129e-01
1.232933427266421494e-01 8.374089999999999590e-01
1.259921091142061633e-01 8.239229999999999610e-01
1.287499385219043613e-01 8.152500000000000302e-01
1.315681276210838024e-01 8.121429999999999483e-01
1.344480149355610776e-01 8.134909999999999641e-01
1.373909270603933253e-01 8.175449999999999662e-01
1.403982677661723133e-01 8.231209999999999916e-01
1.434714465996406174e-01 8.297400000000000331e-01
1.466118729226930095e-01 8.370750000000000135e-01
1.498210387691902012e-01 8.445430000000000437e-01
1.531004603883944215e-01 8.517149999999999999e-01
1.564516759885790365e-01 8.591569999999999485e-01
1.598762174374112610e-01 8.682370000000000365e-01
1.633757347823671657e-01 8.795629999999999837e-01
1.669518482487836186e-01 8.917319999999999691e-01
1.706062493069121222e-01 9.019779999999999465e-01
1.743406480276755433e-01 9.081939999999999458e-01
1.781567686922972404e-01 9.104299999999999615e-01
1.820564109071452219e-01 9.108089999999999797e-01
1.860414236112984399e-01 9.121609999999999996e-01
1.901136708649468487e-01 9.163249999999999451e-01
1.942750635716576912e-01 9.234130000000000393e-01
1.985275213739692568e-01 9.326809999999999823e-01
2.028730886819132551e-01 9.439699999999999758e-01
2.073137384534022021e-01 9.581279999999999797e-01
2.118516148918974384e-01 9.758850000000000025e-01
2.164888283105038391e-01 9.963920000000000554e-01
2.212275340673810209e-01 1.017260000000000053e+00
2.260699835805370650e-01 1.036404000000000103e+00
2.310183752015635139e-01 1.053582000000000019e+00
2.360751096568884100e-01 1.070008000000000070e+00
2.412425341466744866e-01 1.087037000000000031e+00
2.465230998307618715e-01 1.105688000000000004e+00
2.519191833183147544e-01 1.126980000000000093e+00
2.574334553825345373e-01 1.151920000000000055e+00
2.630683822583526066e-01 1.180914000000000019e+00
2.688266710467492326e-01 1.213497000000000048e+00
2.747110108843249798e-01 1.249074000000000018e+00
2.807241335168895180e-01 1.288143000000000038e+00
2.868688920234096495e-01 1.332365000000000022e+00
2.931481028187655768e-01 1.382643999999999984e+00
2.995647922697904919e-01 1.437065000000000037e+00
3.061219491886544297e-01 1.491416999999999993e+00
3.128225983045015424e-01 1.542065000000000019e+00
3.196699982673885665e-01 1.588314999999999921e+00
3.266672524899394969e-01 1.632481000000000071e+00
3.338175913859038335e-01 1.678269999999999929e+00
3.411245032800827026e-01 1.728944999999999954e+00
3.485912903071751723e-01 1.786038000000000014e+00
3.562216425308692980e-01 1.848735999999999935e+00
3.640189144227933826e-01 1.914309000000000038e+00
3.719868599361595973e-01 1.979700000000000015e+00
3.801292743636255911e-01 2.043340999999999852e+00
3.884498326752345854e-01 2.105703000000000102e+00
3.969526737144291051e-01 2.168254999999999821e+00
4.056414997215270768e-01 2.231965999999999894e+00
4.145204868460213854e-01 2.296915999999999958e+00
4.235940173275368759e-01 2.362878999999999952e+00
4.328659535344370757e-01 2.429605000000000015e+00
4.423408678727827614e-01 2.496281999999999890e+00
4.520233696082087693e-01 2.560621999999999954e+00
4.619176604055267865e-01 2.618412000000000184e+00
4.720285331807737017e-01 2.664630999999999972e+00
