# period(s) Vg(km/s)
1.100000000000000089e+00 9.634200000000000541e-01
1.000000000000000000e+00 8.985300000000000509e-01
9.000000000000000222e-01 1.102510000000000101e+00
8.000000000000000444e-01 1.042859999999999898e+00
6.999999999999999556e-01 1.263409999999999922e+00
5.999999999999999778e-01 1.300179999999999891e+00
5.000000000000000000e-01 1.229349999999999943e+00
4.000000000000000222e-01 1.417350000000000110e+00
2.999999999999999889e-01 1.469249999999999945e+00
