# period(s) Vg(km/s)
1.100000000000000089e+00 1.129089999999999927e+00
1.000000000000000000e+00 1.392900000000000027e+00
9.000000000000000222e-01 1.404379999999999962e+00
8.000000000000000444e-01 1.394889999999999963e+00
6.999999999999999556e-01 1.391950000000000021e+00
5.999999999999999778e-01 1.430620000000000003e+00
5.000000000000000000e-01 1.467640000000000056e+00
4.000000000000000222e-01 1.552950000000000053e+00
2.999999999999999889e-01 1.341069999999999984e+00
