# frequency(Hz) HVamp
2.000000000000000042e-02 1.657222999999999891e+00
2.043777802275861116e-02 1.663351000000000024e+00
2.088513892042544867e-02 1.663898000000000099e+00
2.134229185993890415e-02 1.657181000000000015e+00
2.180945121728470465e-02 1.648290999999999951e+00
2.228683671448790371e-02 1.644543000000000088e+00
2.277467095838639488e-02 1.649804000000000048e+00
2.327318386720582041e-02 1.662736999999999910e+00
2.378260869151607032e-02 1.679367000000000054e+00
2.430318396985316209e-02 1.696166000000000063e+00
2.483515418061077798e-02 1.711530999999999914e+00
2.537876860438217572e-02 1.725689000000000028e+00
2.593428185548686538e-02 1.739071999999999951e+00
2.650195524800330604e-02 1.750466000000000077e+00
2.708205410122367304e-02 1.757136000000000031e+00
2.767485116257483238e-02 1.756718999999999919e+00
2.828062296556268368e-02 1.748599000000000014e+00
2.889965516642458918e-02 1.733713999999999977e+00
2.953223712425469966e-02 1.713629999999999987e+00
3.017866585007221089e-02 1.689753000000000061e+00
3.083924344304486698e-02 1.663086999999999982e+00
3.151428172097601316e-02 1.634438999999999975e+00
3.220409460893151193e-02 1.604894999999999960e+00
3.290900679366954434e-02 1.576152999999999915e+00
3.362935008254323843e-02 1.550092999999999943e+00
3.436545982617606604e-02 1.527913000000000077e+00
3.511768145762538679e-02 1.509673000000000043e+00
3.588636982920923035e-02 1.494383000000000017e+00
3.667188287528685281e-02 1.480223999999999984e+00
3.747459035401046190e-02 1.464957999999999982e+00
3.829486888200696326e-02 1.446644999999999959e+00
3.913310161841203338e-02 1.424204000000000025e+00
3.998968266187323539e-02 1.397159000000000040e+00
4.086501260624340881e-02 1.365174000000000110e+00
4.175950326235679244e-02 1.328286000000000078e+00
4.267357455111880221e-02 1.287693999999999894e+00
4.360765235805109941e-02 1.246051999999999937e+00
4.456217573218773653e-02 1.206506000000000078e+00
4.553759360593897382e-02 1.170862999999999987e+00
4.653436264861679494e-02 1.138574999999999893e+00
4.755294901990994583e-02 1.108783000000000074e+00
4.859383060501651364e-02 1.082500999999999935e+00
4.965749734357217948e-02 1.061457000000000095e+00
5.074444382592605690e-02 1.047589000000000103e+00
5.185518671652646766e-02 1.042213000000000056e+00
5.299023919793973553e-02 1.044507999999999992e+00
5.415013688613103116e-02 1.051673000000000080e+00
5.533542508618215922e-02 1.060165999999999942e+00
5.654665825930951795e-02 1.066861000000000059e+00
5.778440269534190765e-02 1.069409000000000054e+00
5.904923992113619846e-02 1.066216999999999970e+00
6.034176368113722960e-02 1.057531999999999917e+00
6.166257977365023624e-02 1.046675000000000022e+00
6.301230579922413588e-02 1.038608999999999893e+00
