# period(s) Vg(km/s)
1.100000000000000089e+00 1.070389999999999953e+00
1.000000000000000000e+00 1.187259999999999982e+00
9.000000000000000222e-01 1.150740000000000096e+00
8.000000000000000444e-01 1.116600000000000037e+00
6.999999999999999556e-01 1.110170000000000101e+00
5.999999999999999778e-01 1.120509999999999895e+00
5.000000000000000000e-01 1.127930000000000099e+00
4.000000000000000222e-01 1.069679999999999964e+00
2.999999999999999889e-01 1.076680000000000081e+00
