# frequency(Hz) HVamp
2.000000000000000042e-02 1.591050999999999993e+00
2.043777802275861116e-02 1.536389000000000005e+00
2.088513892042544867e-02 1.480809999999999960e+00
2.134229185993890415e-02 1.424569999999999892e+00
2.180945121728470465e-02 1.369863999999999971e+00
2.228683671448790371e-02 1.319341000000000097e+00
2.277467095838639488e-02 1.273916000000000048e+00
2.327318386720582041e-02 1.232331999999999983e+00
2.378260869151607032e-02 1.194031999999999982e+00
2.430318396985316209e-02 1.161200000000000010e+00
2.483515418061077798e-02 1.138166999999999929e+00
2.537876860438217572e-02 1.129186999999999941e+00
2.593428185548686538e-02 1.135942999999999925e+00
2.650195524800330604e-02 1.156962999999999964e+00
2.708205410122367304e-02 1.189078999999999997e+00
2.767485116257483238e-02 1.229225000000000012e+00
2.828062296556268368e-02 1.275740000000000096e+00
2.889965516642458918e-02 1.328476999999999908e+00
2.953223712425469966e-02 1.387340999999999935e+00
3.017866585007221089e-02 1.450016999999999889e+00
3.083924344304486698e-02 1.510693000000000064e+00
3.151428172097601316e-02 1.561187000000000102e+00
3.220409460893151193e-02 1.593917999999999946e+00
3.290900679366954434e-02 1.604473999999999956e+00
3.362935008254323843e-02 1.592227000000000059e+00
3.436545982617606604e-02 1.559603000000000073e+00
3.511768145762538679e-02 1.511292999999999997e+00
3.588636982920923035e-02 1.453672000000000075e+00
3.667188287528685281e-02 1.393842999999999943e+00
3.747459035401046190e-02 1.338162000000000074e+00
3.829486888200696326e-02 1.291071000000000080e+00
3.913310161841203338e-02 1.254801999999999973e+00
3.998968266187323539e-02 1.229757999999999907e+00
4.086501260624340881e-02 1.215025000000000022e+00
4.175950326235679244e-02 1.208468000000000098e+00
4.267357455111880221e-02 1.206414000000000097e+00
4.360765235805109941e-02 1.203910999999999953e+00
4.456217573218773653e-02 1.196245000000000003e+00
4.553759360593897382e-02 1.180571999999999955e+00
4.653436264861679494e-02 1.156258999999999926e+00
4.755294901990994583e-02 1.124101000000000017e+00
4.859383060501651364e-02 1.085499999999999909e+00
4.965749734357217948e-02 1.042119000000000018e+00
5.074444382592605690e-02 9.960040000000000004e-01
5.185518671652646766e-02 9.498010000000000064e-01
5.299023919793973553e-02 9.063400000000000345e-01
5.415013688613103116e-02 8.676589999999999581e-01
5.533542508618215922e-02 8.341169999999999973e-01
5.654665825930951795e-02 8.043789999999999552e-01
5.778440269534190765e-02 7.765030000000000543e-01
5.904923992113619846e-02 7.493389999999999773e-01
6.034176368113722960e-02 7.230010000000000048e-01
6.166257977365023624e-02 6.982990000000000030e-01
6.301230579922413588e-02 6.759230000000000516e-01
6.439157495481964699e-02 6.562059999999999560e-01
6.580103648476649802e-02 6.393640000000000434e-01
6.724135160227064090e-02 6.254579999999999584e-01
6.871319291929786632e-02 6.139170000000000460e-01
7.021724865648072689e-02 6.032729999999999482e-01
7.175422799231455373e-02 5.917219999999999702e-01
7.332484622679873165e-02 5.781920000000000393e-01
7.492985067379918929e-02 5.628900000000000015e-01
7.656998328017844413e-02 5.468539999999999512e-01
7.824601847091161577e-02 5.309859999999999580e-01
7.995873489609482687e-02 5.152919999999999723e-01
8.170894587125514252e-02 4.988659999999999761e-01
8.349746848200181870e-02 4.810599999999999876e-01
8.532513483931059017e-02 4.631790000000000074e-01
8.719280666320453066e-02 4.488449999999999940e-01
8.910136197668877545e-02 4.422840000000000105e-01
9.105169441740208758e-02 4.458059999999999801e-01
9.304472101470850909e-02 4.584440000000000182e-01
9.508136492722282784e-02 4.767759999999999776e-01
9.716259003207046441e-02 4.971289999999999876e-01
9.928937600698042876e-02 5.172759999999999581e-01
1.014627169666056788e-01 5.366549999999999931e-01
1.036836198025345573e-01 5.554729999999999945e-01
1.059531470945422049e-01 5.737109999999999710e-01
1.082723426204657002e-01 5.908579999999999943e-01
1.106423073612318730e-01 6.065009999999999568e-01
1.130641434367904014e-01 6.210459999999999869e-01
1.155389888050807612e-01 6.357869999999999910e-01
1.180680199308263012e-01 6.522599999999999509e-01
1.206523964642573915e-01 6.714409999999999545e-01
1.232933427266421494e-01 6.931899999999999729e-01
1.259921091142061633e-01 7.161950000000000260e-01
1.287499385219043613e-01 7.386369999999999880e-01
1.315681276210838024e-01 7.592010000000000147e-01
1.344480149355610776e-01 7.773360000000000269e-01
1.373909270603933253e-01 7.925400000000000222e-01
1.403982677661723133e-01 8.037360000000000060e-01
1.434714465996406174e-01 8.097010000000000041e-01
1.466118729226930095e-01 8.101369999999999960e-01
1.498210387691902012e-01 8.062949999999999839e-01
1.531004603883944215e-01 8.005879999999999663e-01
1.564516759885790365e-01 7.955189999999999761e-01
1.598762174374112610e-01 7.925699999999999967e-01
1.633757347823671657e-01 7.915630000000000166e-01
1.669518482487836186e-01 7.907589999999999897e-01
1.706062493069121222e-01 7.879909999999999970e-01
1.743406480276755433e-01 7.822160000000000224e-01
1.781567686922972404e-01 7.740439999999999543e-01
1.820564109071452219e-01 7.649110000000000076e-01
1.860414236112984399e-01 7.560940000000000438e-01
1.901136708649468487e-01 7.481459999999999777e-01
1.942750635716576912e-01 7.407270000000000243e-01
1.985275213739692568e-01 7.330109999999999681e-01
2.028730886819132551e-01 7.243399999999999839e-01
2.073137384534022021e-01 7.145850000000000257e-01
2.118516148918974384e-01 7.042180000000000106e-01
2.164888283105038391e-01 6.943059999999999787e-01
2.212275340673810209e-01 6.863780000000000436e-01
2.260699835805370650e-01 6.820129999999999804e-01
2.310183752015635139e-01 6.822930000000000383e-01
2.360751096568884100e-01 6.873650000000000038e-01
2.412425341466744866e-01 6.962939999999999685e-01
2.465230998307618715e-01 7.076280000000000348e-01
2.519191833183147544e-01 7.205730000000000190e-01
2.574334553825345373e-01 7.358299999999999841e-01
2.630683822583526066e-01 7.551790000000000447e-01
2.688266710467492326e-01 7.799509999999999499e-01
2.747110108843249798e-01 8.095470000000000166e-01
2.807241335168895180e-01 8.411220000000000363e-01
2.868688920234096495e-01 8.709440000000000515e-01
2.931481028187655768e-01 8.967739999999999601e-01
2.995647922697904919e-01 9.193999999999999950e-01
3.061219491886544297e-01 9.418299999999999450e-01
3.128225983045015424e-01 9.670269999999999699e-01
3.196699982673885665e-01 9.962259999999999449e-01
3.266672524899394969e-01 1.028645000000000032e+00
3.338175913859038335e-01 1.062348999999999988e+00
3.411245032800827026e-01 1.095623000000000014e+00
3.485912903071751723e-01 1.127698000000000089e+00
3.562216425308692980e-01 1.158174000000000037e+00
3.640189144227933826e-01 1.186050999999999966e+00
3.719868599361595973e-01 1.209653000000000089e+00
3.801292743636255911e-01 1.227618000000000098e+00
3.884498326752345854e-01 1.240023000000000097e+00
3.969526737144291051e-01 1.248720999999999970e+00
4.056414997215270768e-01 1.256353000000000053e+00
4.145204868460213854e-01 1.264701000000000075e+00
4.235940173275368759e-01 1.273905000000000065e+00
4.328659535344370757e-01 1.283131000000000022e+00
4.423408678727827614e-01 1.291886000000000090e+00
4.520233696082087693e-01 1.300837999999999939e+00
4.619176604055267865e-01 1.311725000000000030e+00
4.720285331807737017e-01 1.326033000000000017e+00
4.823605567984378673e-01 1.342750000000000110e+00
4.929189725005434508e-01 1.357175999999999938e+00
5.037085542305222985e-01 1.362716000000000038e+00
5.147340034826902722e-01 1.354843999999999937e+00
5.260010193899755659e-01 1.334217999999999904e+00
5.375147682182568332e-01 1.306559000000000026e+00
5.492803329078241870e-01 1.279487000000000041e+00
5.613033013614973088e-01 1.258302000000000032e+00
5.735898580135665448e-01 1.243384999999999962e+00
5.861448258358571417e-01 1.230979999999999963e+00
5.989749143316128732e-01 1.216510999999999898e+00
6.120861303119130570e-01 1.197778999999999927e+00
6.254839682204105245e-01 1.175861999999999963e+00
6.391749019026319312e-01 1.153620000000000090e+00
6.531657310067570110e-01 1.133490000000000109e+00
6.674631727194452191e-01 1.116373999999999977e+00
6.820728740300071591e-01 1.102141000000000037e+00
6.970030263871405118e-01 1.090529999999999999e+00
7.122593364734473020e-01 1.081401999999999974e+00
7.278502433567288765e-01 1.074381999999999948e+00
7.437819826252529687e-01 1.068535999999999930e+00
7.600626595656545526e-01 1.062476999999999894e+00
7.766996323880640540e-01 1.054904000000000064e+00
7.937005574159013976e-01 1.045412999999999926e+00
8.110740810733430006e-01 1.035123000000000015e+00
8.288272757110509703e-01 1.026651999999999898e+00
8.469695429752346350e-01 1.023498999999999937e+00
8.655086161382736787e-01 1.029142999999999919e+00
8.844540397880493732e-01 1.046032000000000073e+00
9.038134601323364326e-01 1.074678000000000022e+00
9.235972635660274488e-01 1.113202000000000025e+00
9.438138195107080852e-01 1.157556999999999947e+00
9.644726842046378312e-01 1.202450000000000019e+00
9.855838648094324972e-01 1.242887000000000075e+00
1.007156856623164121e+00 1.276046999999999931e+00
1.029202594413900052e+00 1.302505999999999942e+00
1.051730412046940843e+00 1.325773000000000090e+00
1.074752242739242414e+00 1.350360000000000005e+00
1.098277132661993116e+00 1.379744000000000081e+00
1.122316821060050707e+00 1.415262000000000020e+00
1.146883687643933891e+00 1.456023000000000067e+00
1.171988078537265165e+00 1.499524999999999997e+00
1.197640647923590596e+00 1.542712000000000083e+00
1.223856887071053556e+00 1.583118000000000025e+00
1.250645645814651763e+00 1.619607999999999937e+00
1.278020601692099190e+00 1.652520999999999907e+00
1.305994514823037633e+00 1.683210000000000095e+00
1.334582502555725414e+00 1.712906999999999957e+00
1.363795059788775355e+00 1.741389999999999993e+00
1.393646643680787944e+00 1.766521999999999926e+00
1.424152486855072564e+00 1.785409000000000024e+00
1.455324450032890349e+00 1.796577000000000091e+00
1.487179029585939727e+00 1.801363999999999965e+00
1.519733742648287977e+00 1.803325999999999985e+00
1.552997595959721311e+00 1.806294000000000066e+00
1.586991746055928854e+00 1.812767000000000017e+00
1.621728568046108876e+00 1.823576000000000086e+00
1.657226002538870313e+00 1.838319000000000036e+00
1.693503044918474698e+00 1.855723999999999929e+00
1.730570880722132499e+00 1.873761000000000010e+00
1.768449794594556090e+00 1.889952000000000076e+00
1.807161419272292235e+00 1.902152000000000065e+00
1.846718657952616915e+00 1.909448999999999952e+00
1.887141395956233536e+00 1.912597000000000103e+00
1.928446905999783967e+00 1.913651999999999909e+00
1.970660801980119947e+00 1.914957999999999938e+00
2.013794492272063863e+00 1.918263000000000051e+00
2.057875696076454375e+00 1.924520999999999926e+00
2.102921167794182811e+00 1.934026999999999941e+00
2.148947875120341244e+00 1.946339999999999959e+00
2.195987491655247315e+00 1.959942000000000073e+00
2.244054377925685628e+00 1.971961000000000075e+00
2.293172994677545429e+00 1.978469999999999951e+00
2.343369202504593130e+00 1.975789999999999935e+00
2.394664687077192156e+00 1.962541000000000091e+00
2.447081854888045971e+00 1.940952999999999928e+00
2.500643915808320461e+00 1.915936000000000083e+00
2.555381505681890708e+00 1.892352000000000034e+00
2.611313778074887182e+00 1.872422000000000031e+00
2.668474113132628389e+00 1.854707000000000106e+00
2.726883526623927079e+00 1.835096999999999978e+00
2.786570957242854973e+00 1.809296999999999933e+00
2.847566896465314912e+00 1.775489000000000095e+00
2.909895098281706893e+00 1.735602000000000089e+00
2.973597428432943612e+00 1.694347999999999965e+00
3.038682427299522981e+00 1.656886000000000081e+00
3.105194680180473732e+00 1.626783000000000090e+00
3.173162659491088000e+00 1.605358000000000063e+00
3.242626267866870915e+00 1.592222000000000026e+00
3.313595350363004233e+00 1.586146999999999974e+00
3.386134456627003964e+00 1.585844999999999949e+00
3.460243531939777739e+00 1.590568999999999900e+00
3.535992871438371044e+00 1.600176000000000043e+00
3.613382523514086397e+00 1.614381000000000066e+00
3.692475841976804229e+00 1.631677000000000044e+00
3.773300128292204736e+00 1.648916999999999966e+00
3.855897402281920350e+00 1.662228999999999957e+00
3.940296625529969621e+00 1.668773000000000062e+00
4.026542971266589888e+00 1.668026999999999926e+00
4.114684485993613805e+00 1.661718999999999946e+00
4.204754736656211023e+00 1.652562000000000086e+00
4.296787721499407020e+00 1.642795000000000005e+00
4.390837200929101236e+00 1.633469999999999978e+00
4.486960891648868355e+00 1.624633999999999912e+00
4.585157844058781684e+00 1.616073000000000093e+00
4.685530612914259763e+00 1.608017000000000030e+00
4.788102522851219511e+00 1.601331999999999978e+00
4.892894538551115780e+00 1.597067999999999932e+00
