# period(s) Vg(km/s)
1.100000000000000089e+00 1.075900000000000079e+00
1.000000000000000000e+00 1.145720000000000072e+00
9.000000000000000222e-01 1.105410000000000004e+00
8.000000000000000444e-01 1.108680000000000110e+00
6.999999999999999556e-01 1.143990000000000062e+00
5.999999999999999778e-01 1.143489999999999895e+00
5.000000000000000000e-01 1.153850000000000042e+00
4.000000000000000222e-01 9.808499999999999996e-01
2.999999999999999889e-01 1.004289999999999905e+00
