# frequency(Hz) HVamp
2.000000000000000042e-02 2.003209000000000017e+00
2.043777802275861116e-02 2.001611000000000029e+00
2.088513892042544867e-02 2.004001000000000143e+00
2.134229185993890415e-02 2.002469000000000054e+00
2.180945121728470465e-02 1.987031999999999909e+00
2.228683671448790371e-02 1.948865000000000069e+00
2.277467095838639488e-02 1.885173999999999905e+00
2.327318386720582041e-02 1.802645999999999971e+00
2.378260869151607032e-02 1.716188999999999965e+00
2.430318396985316209e-02 1.641896000000000022e+00
2.483515418061077798e-02 1.588618000000000086e+00
2.537876860438217572e-02 1.554959999999999898e+00
2.593428185548686538e-02 1.532864000000000004e+00
2.650195524800330604e-02 1.513144999999999962e+00
2.708205410122367304e-02 1.489341999999999944e+00
2.767485116257483238e-02 1.459046999999999983e+00
2.828062296556268368e-02 1.423173000000000021e+00
2.889965516642458918e-02 1.384454999999999991e+00
2.953223712425469966e-02 1.346119000000000065e+00
3.017866585007221089e-02 1.310751999999999917e+00
3.083924344304486698e-02 1.279524000000000106e+00
3.151428172097601316e-02 1.252143999999999924e+00
3.220409460893151193e-02 1.227902000000000049e+00
3.290900679366954434e-02 1.207308000000000048e+00
3.362935008254323843e-02 1.192838999999999983e+00
3.436545982617606604e-02 1.187816999999999901e+00
3.511768145762538679e-02 1.194283999999999901e+00
3.588636982920923035e-02 1.211416000000000048e+00
3.667188287528685281e-02 1.235387999999999931e+00
3.747459035401046190e-02 1.260810999999999904e+00
3.829486888200696326e-02 1.282987000000000100e+00
3.913310161841203338e-02 1.299172999999999911e+00
3.998968266187323539e-02 1.308030999999999944e+00
4.086501260624340881e-02 1.308605000000000018e+00
4.175950326235679244e-02 1.300192000000000014e+00
4.267357455111880221e-02 1.283069000000000015e+00
4.360765235805109941e-02 1.259398000000000017e+00
4.456217573218773653e-02 1.233195999999999959e+00
4.553759360593897382e-02 1.208776000000000073e+00
4.653436264861679494e-02 1.189114999999999922e+00
4.755294901990994583e-02 1.175624999999999920e+00
4.859383060501651364e-02 1.168878000000000084e+00
4.965749734357217948e-02 1.168949999999999934e+00
5.074444382592605690e-02 1.174209000000000058e+00
5.185518671652646766e-02 1.180954999999999977e+00
5.299023919793973553e-02 1.185048000000000101e+00
5.415013688613103116e-02 1.183761999999999981e+00
5.533542508618215922e-02 1.176701999999999915e+00
5.654665825930951795e-02 1.165245000000000086e+00
5.778440269534190765e-02 1.151348999999999956e+00
5.904923992113619846e-02 1.136727000000000043e+00
6.034176368113722960e-02 1.122079999999999966e+00
6.166257977365023624e-02 1.106891999999999987e+00
6.301230579922413588e-02 1.091075000000000017e+00
6.439157495481964699e-02 1.076543999999999945e+00
6.580103648476649802e-02 1.066453000000000095e+00
6.724135160227064090e-02 1.062786999999999926e+00
6.871319291929786632e-02 1.064445000000000086e+00
7.021724865648072689e-02 1.067638000000000087e+00
7.175422799231455373e-02 1.068486999999999965e+00
7.332484622679873165e-02 1.065550999999999915e+00
7.492985067379918929e-02 1.060218000000000105e+00
7.656998328017844413e-02 1.055261000000000005e+00
7.824601847091161577e-02 1.052626999999999979e+00
7.995873489609482687e-02 1.051751000000000102e+00
8.170894587125514252e-02 1.050075000000000092e+00
8.349746848200181870e-02 1.045654000000000083e+00
8.532513483931059017e-02 1.039109999999999978e+00
8.719280666320453066e-02 1.033004999999999951e+00
8.910136197668877545e-02 1.029700000000000060e+00
9.105169441740208758e-02 1.029840000000000089e+00
9.304472101470850909e-02 1.032577999999999996e+00
9.508136492722282784e-02 1.037190999999999974e+00
9.716259003207046441e-02 1.044280000000000097e+00
9.928937600698042876e-02 1.055269999999999930e+00
1.014627169666056788e-01 1.070885000000000087e+00
1.036836198025345573e-01 1.090222999999999942e+00
1.059531470945422049e-01 1.111013999999999946e+00
1.082723426204657002e-01 1.130322000000000049e+00
1.106423073612318730e-01 1.145647000000000082e+00
1.130641434367904014e-01 1.156312999999999924e+00
1.155389888050807612e-01 1.164157000000000108e+00
1.180680199308263012e-01 1.172895999999999939e+00
1.206523964642573915e-01 1.186587000000000058e+00
1.232933427266421494e-01 1.207961000000000062e+00
1.259921091142061633e-01 1.237290000000000001e+00
1.287499385219043613e-01 1.272165999999999908e+00
1.315681276210838024e-01 1.308286000000000060e+00
1.344480149355610776e-01 1.341080000000000050e+00
1.373909270603933253e-01 1.367291999999999952e+00
1.403982677661723133e-01 1.385450999999999988e+00
1.434714465996406174e-01 1.395107000000000097e+00
1.466118729226930095e-01 1.395826000000000011e+00
1.498210387691902012e-01 1.387192999999999898e+00
1.531004603883944215e-01 1.370006000000000057e+00
1.564516759885790365e-01 1.347601000000000049e+00
1.598762174374112610e-01 1.325847999999999915e+00
1.633757347823671657e-01 1.310794999999999932e+00
1.669518482487836186e-01 1.305471999999999966e+00
1.706062493069121222e-01 1.308591000000000060e+00
1.743406480276755433e-01 1.316089999999999982e+00
1.781567686922972404e-01 1.324313000000000073e+00
1.820564109071452219e-01 1.332875000000000032e+00
1.860414236112984399e-01 1.344940999999999942e+00
1.901136708649468487e-01 1.364394000000000107e+00
1.942750635716576912e-01 1.392466999999999899e+00
1.985275213739692568e-01 1.426643000000000105e+00
2.028730886819132551e-01 1.461913000000000018e+00
2.073137384534022021e-01 1.492815999999999921e+00
2.118516148918974384e-01 1.514923000000000020e+00
2.164888283105038391e-01 1.525646999999999975e+00
2.212275340673810209e-01 1.524920999999999971e+00
2.260699835805370650e-01 1.515676000000000023e+00
2.310183752015635139e-01 1.503484999999999960e+00
2.360751096568884100e-01 1.494745999999999908e+00
2.412425341466744866e-01 1.494065999999999894e+00
2.465230998307618715e-01 1.503012000000000015e+00
2.519191833183147544e-01 1.520818999999999921e+00
2.574334553825345373e-01 1.545514999999999972e+00
2.630683822583526066e-01 1.574719999999999898e+00
2.688266710467492326e-01 1.606200999999999990e+00
2.747110108843249798e-01 1.638360999999999956e+00
2.807241335168895180e-01 1.670827000000000062e+00
2.868688920234096495e-01 1.704725999999999964e+00
2.931481028187655768e-01 1.741932999999999954e+00
2.995647922697904919e-01 1.783246000000000109e+00
3.061219491886544297e-01 1.826932999999999918e+00
3.128225983045015424e-01 1.868902999999999981e+00
3.196699982673885665e-01 1.904495000000000049e+00
3.266672524899394969e-01 1.931238999999999928e+00
3.338175913859038335e-01 1.951038000000000050e+00
3.411245032800827026e-01 1.969378000000000073e+00
3.485912903071751723e-01 1.991846999999999923e+00
3.562216425308692980e-01 2.020980000000000221e+00
3.640189144227933826e-01 2.055629000000000151e+00
3.719868599361595973e-01 2.092505000000000059e+00
3.801292743636255911e-01 2.128404000000000185e+00
3.884498326752345854e-01 2.161850999999999967e+00
3.969526737144291051e-01 2.193172000000000121e+00
4.056414997215270768e-01 2.223005000000000120e+00
4.145204868460213854e-01 2.250853999999999910e+00
4.235940173275368759e-01 2.275361000000000189e+00
4.328659535344370757e-01 2.295771999999999924e+00
4.423408678727827614e-01 2.312647999999999815e+00
4.520233696082087693e-01 2.326916999999999902e+00
4.619176604055267865e-01 2.338067999999999813e+00
4.720285331807737017e-01 2.343459000000000181e+00
4.823605567984378673e-01 2.340669999999999806e+00
4.929189725005434508e-01 2.331310000000000215e+00
5.037085542305222985e-01 2.321664000000000172e+00
5.147340034826902722e-01 2.318804999999999783e+00
5.260010193899755659e-01 2.325760999999999967e+00
5.375147682182568332e-01 2.339863999999999944e+00
5.492803329078241870e-01 2.355361999999999956e+00
5.613033013614973088e-01 2.367986000000000146e+00
5.735898580135665448e-01 2.377784999999999815e+00
5.861448258358571417e-01 2.388078999999999841e+00
5.989749143316128732e-01 2.401600000000000179e+00
6.120861303119130570e-01 2.417157000000000000e+00
6.254839682204105245e-01 2.429800999999999878e+00
6.391749019026319312e-01 2.434448000000000167e+00
6.531657310067570110e-01 2.429659000000000013e+00
6.674631727194452191e-01 2.418404000000000220e+00
6.820728740300071591e-01 2.405352999999999852e+00
6.970030263871405118e-01 2.393289000000000222e+00
7.122593364734473020e-01 2.381552999999999809e+00
7.278502433567288765e-01 2.366992999999999903e+00
7.437819826252529687e-01 2.346117000000000008e+00
7.600626595656545526e-01 2.317247000000000057e+00
7.766996323880640540e-01 2.281829000000000107e+00
7.937005574159013976e-01 2.244387999999999828e+00
8.110740810733430006e-01 2.210948000000000135e+00
8.288272757110509703e-01 2.186644999999999950e+00
8.469695429752346350e-01 2.173945999999999934e+00
8.655086161382736787e-01 2.172365000000000101e+00
8.844540397880493732e-01 2.179161000000000126e+00
9.038134601323364326e-01 2.189786999999999928e+00
9.235972635660274488e-01 2.198007000000000044e+00
9.438138195107080852e-01 2.197011999999999965e+00
9.644726842046378312e-01 2.182141999999999804e+00
9.855838648094324972e-01 2.153214000000000183e+00
1.007156856623164121e+00 2.114428999999999892e+00
1.029202594413900052e+00 2.072131999999999863e+00
1.051730412046940843e+00 2.031657000000000046e+00
1.074752242739242414e+00 1.995071999999999957e+00
1.098277132661993116e+00 1.961591000000000085e+00
1.122316821060050707e+00 1.930134999999999934e+00
1.146883687643933891e+00 1.901270999999999933e+00
1.171988078537265165e+00 1.876794999999999991e+00
1.197640647923590596e+00 1.857961999999999891e+00
1.223856887071053556e+00 1.844384000000000023e+00
1.250645645814651763e+00 1.834492000000000012e+00
1.278020601692099190e+00 1.826665999999999901e+00
1.305994514823037633e+00 1.819706000000000046e+00
1.334582502555725414e+00 1.812451999999999952e+00
1.363795059788775355e+00 1.803479999999999972e+00
1.393646643680787944e+00 1.791574000000000000e+00
1.424152486855072564e+00 1.776669999999999972e+00
1.455324450032890349e+00 1.760189999999999921e+00
1.487179029585939727e+00 1.744008999999999920e+00
1.519733742648287977e+00 1.728701000000000043e+00
1.552997595959721311e+00 1.712641000000000080e+00
1.586991746055928854e+00 1.692806999999999951e+00
1.621728568046108876e+00 1.666867000000000099e+00
1.657226002538870313e+00 1.635205000000000020e+00
1.693503044918474698e+00 1.601531999999999956e+00
1.730570880722132499e+00 1.571595000000000075e+00
1.768449794594556090e+00 1.550402000000000058e+00
1.807161419272292235e+00 1.539716000000000085e+00
1.846718657952616915e+00 1.537519999999999998e+00
1.887141395956233536e+00 1.539514999999999967e+00
1.928446905999783967e+00 1.541277000000000008e+00
1.970660801980119947e+00 1.539873999999999965e+00
