# frequency(Hz) HVamp
2.000000000000000042e-02 1.495972999999999997e+00
2.043777802275861116e-02 1.510841000000000101e+00
2.088513892042544867e-02 1.539341999999999988e+00
2.134229185993890415e-02 1.570912000000000086e+00
2.180945121728470465e-02 1.594368999999999925e+00
2.228683671448790371e-02 1.602362000000000064e+00
2.277467095838639488e-02 1.593018999999999963e+00
2.327318386720582041e-02 1.569047000000000081e+00
2.378260869151607032e-02 1.535746999999999973e+00
2.430318396985316209e-02 1.499692000000000025e+00
2.483515418061077798e-02 1.467724999999999946e+00
2.537876860438217572e-02 1.444833999999999952e+00
2.593428185548686538e-02 1.431705999999999923e+00
2.650195524800330604e-02 1.424015999999999948e+00
2.708205410122367304e-02 1.414392000000000094e+00
2.767485116257483238e-02 1.396147999999999945e+00
2.828062296556268368e-02 1.366527999999999965e+00
2.889965516642458918e-02 1.327626999999999891e+00
2.953223712425469966e-02 1.284848999999999908e+00
3.017866585007221089e-02 1.244089000000000000e+00
3.083924344304486698e-02 1.209805000000000019e+00
3.151428172097601316e-02 1.185167999999999999e+00
3.220409460893151193e-02 1.172865999999999964e+00
3.290900679366954434e-02 1.174838999999999967e+00
3.362935008254323843e-02 1.191105999999999998e+00
3.436545982617606604e-02 1.218623999999999929e+00
3.511768145762538679e-02 1.251266999999999907e+00
3.588636982920923035e-02 1.281978000000000062e+00
3.667188287528685281e-02 1.306297999999999959e+00
3.747459035401046190e-02 1.324211000000000027e+00
3.829486888200696326e-02 1.338796000000000097e+00
3.913310161841203338e-02 1.353194000000000008e+00
3.998968266187323539e-02 1.368216000000000099e+00
4.086501260624340881e-02 1.381815999999999933e+00
4.175950326235679244e-02 1.390133999999999981e+00
4.267357455111880221e-02 1.389399000000000051e+00
4.360765235805109941e-02 1.377742999999999940e+00
4.456217573218773653e-02 1.356033000000000044e+00
4.553759360593897382e-02 1.327525999999999984e+00
4.653436264861679494e-02 1.296788000000000052e+00
4.755294901990994583e-02 1.268048999999999982e+00
4.859383060501651364e-02 1.243654000000000037e+00
4.965749734357217948e-02 1.224094000000000015e+00
5.074444382592605690e-02 1.209352999999999900e+00
5.185518671652646766e-02 1.199381999999999948e+00
5.299023919793973553e-02 1.193251999999999979e+00
5.415013688613103116e-02 1.188256999999999897e+00
5.533542508618215922e-02 1.180514999999999981e+00
5.654665825930951795e-02 1.167295999999999889e+00
5.778440269534190765e-02 1.149237000000000064e+00
5.904923992113619846e-02 1.130433000000000021e+00
6.034176368113722960e-02 1.115884000000000098e+00
6.166257977365023624e-02 1.107927000000000106e+00
6.301230579922413588e-02 1.104764000000000079e+00
6.439157495481964699e-02 1.102249000000000034e+00
6.580103648476649802e-02 1.096966000000000108e+00
6.724135160227064090e-02 1.088206999999999924e+00
6.871319291929786632e-02 1.077712999999999921e+00
7.021724865648072689e-02 1.067965000000000053e+00
7.175422799231455373e-02 1.060840000000000005e+00
7.332484622679873165e-02 1.057411000000000101e+00
7.492985067379918929e-02 1.058119000000000032e+00
7.656998328017844413e-02 1.062551999999999941e+00
7.824601847091161577e-02 1.069188999999999945e+00
7.995873489609482687e-02 1.075631000000000004e+00
8.170894587125514252e-02 1.079444999999999988e+00
8.349746848200181870e-02 1.079536999999999969e+00
8.532513483931059017e-02 1.077117000000000102e+00
8.719280666320453066e-02 1.075123999999999969e+00
8.910136197668877545e-02 1.076696000000000097e+00
9.105169441740208758e-02 1.083903999999999979e+00
9.304472101470850909e-02 1.097461000000000020e+00
9.508136492722282784e-02 1.117660000000000098e+00
9.716259003207046441e-02 1.145588999999999968e+00
9.928937600698042876e-02 1.182889999999999997e+00
1.014627169666056788e-01 1.229902999999999968e+00
1.036836198025345573e-01 1.283922999999999925e+00
1.059531470945422049e-01 1.339121000000000006e+00
1.082723426204657002e-01 1.388382999999999923e+00
1.106423073612318730e-01 1.426223999999999936e+00
1.130641434367904014e-01 1.450933999999999946e+00
1.155389888050807612e-01 1.464617999999999975e+00
1.180680199308263012e-01 1.471829000000000054e+00
1.206523964642573915e-01 1.477595999999999909e+00
1.232933427266421494e-01 1.485236000000000001e+00
1.259921091142061633e-01 1.495311999999999975e+00
1.287499385219043613e-01 1.506841000000000097e+00
1.315681276210838024e-01 1.519308000000000103e+00
1.344480149355610776e-01 1.533204000000000011e+00
1.373909270603933253e-01 1.548823000000000061e+00
1.403982677661723133e-01 1.565020000000000078e+00
1.434714465996406174e-01 1.579320999999999975e+00
1.466118729226930095e-01 1.589317000000000091e+00
1.498210387691902012e-01 1.594116000000000088e+00
1.531004603883944215e-01 1.594818000000000069e+00
1.564516759885790365e-01 1.594117999999999924e+00
1.598762174374112610e-01 1.595515999999999934e+00
1.633757347823671657e-01 1.601904999999999912e+00
1.669518482487836186e-01 1.613491999999999926e+00
1.706062493069121222e-01 1.626973000000000003e+00
1.743406480276755433e-01 1.637226999999999988e+00
1.781567686922972404e-01 1.640112999999999932e+00
1.820564109071452219e-01 1.634762000000000048e+00
1.860414236112984399e-01 1.624822999999999906e+00
1.901136708649468487e-01 1.617507999999999946e+00
1.942750635716576912e-01 1.620009999999999950e+00
1.985275213739692568e-01 1.635539000000000076e+00
2.028730886819132551e-01 1.661788000000000043e+00
2.073137384534022021e-01 1.692329999999999890e+00
2.118516148918974384e-01 1.719314000000000009e+00
2.164888283105038391e-01 1.735926000000000080e+00
2.212275340673810209e-01 1.738615999999999939e+00
2.260699835805370650e-01 1.729387000000000008e+00
2.310183752015635139e-01 1.716291999999999929e+00
2.360751096568884100e-01 1.709640999999999966e+00
2.412425341466744866e-01 1.715748999999999969e+00
2.465230998307618715e-01 1.733923000000000103e+00
2.519191833183147544e-01 1.758612000000000064e+00
2.574334553825345373e-01 1.783582000000000001e+00
2.630683822583526066e-01 1.805320000000000036e+00
2.688266710467492326e-01 1.824376999999999915e+00
2.747110108843249798e-01 1.843971000000000027e+00
2.807241335168895180e-01 1.866746000000000016e+00
2.868688920234096495e-01 1.891804000000000041e+00
2.931481028187655768e-01 1.913718000000000030e+00
2.995647922697904919e-01 1.924031999999999965e+00
3.061219491886544297e-01 1.915548000000000028e+00
3.128225983045015424e-01 1.887461000000000055e+00
3.196699982673885665e-01 1.846039999999999903e+00
3.266672524899394969e-01 1.799840000000000106e+00
3.338175913859038335e-01 1.755260000000000042e+00
3.411245032800827026e-01 1.716059000000000001e+00
3.485912903071751723e-01 1.684677999999999898e+00
3.562216425308692980e-01 1.661840999999999902e+00
3.640189144227933826e-01 1.644770000000000065e+00
3.719868599361595973e-01 1.627356000000000025e+00
3.801292743636255911e-01 1.603498000000000090e+00
3.884498326752345854e-01 1.570963000000000109e+00
3.969526737144291051e-01 1.532674000000000092e+00
4.056414997215270768e-01 1.494661000000000017e+00
4.145204868460213854e-01 1.462301000000000073e+00
4.235940173275368759e-01 1.437848000000000015e+00
4.328659535344370757e-01 1.421008999999999967e+00
4.423408678727827614e-01 1.411281000000000008e+00
4.520233696082087693e-01 1.408857999999999944e+00
4.619176604055267865e-01 1.413456999999999963e+00
4.720285331807737017e-01 1.423351999999999951e+00
4.823605567984378673e-01 1.436160000000000103e+00
4.929189725005434508e-01 1.450418999999999903e+00
5.037085542305222985e-01 1.466161999999999965e+00
5.147340034826902722e-01 1.483406000000000002e+00
5.260010193899755659e-01 1.500193000000000110e+00
5.375147682182568332e-01 1.512709999999999999e+00
5.492803329078241870e-01 1.517662000000000067e+00
5.613033013614973088e-01 1.514701999999999993e+00
5.735898580135665448e-01 1.506998999999999977e+00
5.861448258358571417e-01 1.500005999999999950e+00
5.989749143316128732e-01 1.499433000000000016e+00
6.120861303119130570e-01 1.509068999999999994e+00
6.254839682204105245e-01 1.529096999999999928e+00
6.391749019026319312e-01 1.555536999999999948e+00
6.531657310067570110e-01 1.581247000000000069e+00
6.674631727194452191e-01 1.598948000000000036e+00
6.820728740300071591e-01 1.605234000000000050e+00
6.970030263871405118e-01 1.602511999999999937e+00
7.122593364734473020e-01 1.597042999999999990e+00
7.278502433567288765e-01 1.594904000000000099e+00
7.437819826252529687e-01 1.599261999999999961e+00
7.600626595656545526e-01 1.610517999999999894e+00
7.766996323880640540e-01 1.628039000000000014e+00
7.937005574159013976e-01 1.651377000000000095e+00
8.110740810733430006e-01 1.680093000000000059e+00
8.288272757110509703e-01 1.713000999999999996e+00
8.469695429752346350e-01 1.748054999999999914e+00
8.655086161382736787e-01 1.783220999999999945e+00
8.844540397880493732e-01 1.817431000000000019e+00
9.038134601323364326e-01 1.850600000000000023e+00
9.235972635660274488e-01 1.882678999999999991e+00
9.438138195107080852e-01 1.912611999999999979e+00
9.644726842046378312e-01 1.938193999999999972e+00
9.855838648094324972e-01 1.957157999999999953e+00
