# frequency(Hz) HVamp
2.000000000000000042e-02 8.535350000000000437e-01
2.043777802275861116e-02 8.519360000000000266e-01
2.088513892042544867e-02 8.484300000000000175e-01
2.134229185993890415e-02 8.382950000000000124e-01
2.180945121728470465e-02 8.179610000000000491e-01
2.228683671448790371e-02 7.866140000000000354e-01
2.277467095838639488e-02 7.461839999999999584e-01
2.327318386720582041e-02 6.999640000000000306e-01
2.378260869151607032e-02 6.511460000000000026e-01
2.430318396985316209e-02 6.015519999999999756e-01
2.483515418061077798e-02 5.506149999999999656e-01
2.537876860438217572e-02 4.956909999999999927e-01
2.593428185548686538e-02 4.344830000000000081e-01
2.650195524800330604e-02 3.685519999999999907e-01
2.708205410122367304e-02 3.044660000000000144e-01
2.767485116257483238e-02 2.502809999999999757e-01
2.828062296556268368e-02 2.108589999999999909e-01
2.889965516642458918e-02 1.869439999999999991e-01
2.953223712425469966e-02 1.772640000000000049e-01
3.017866585007221089e-02 1.804379999999999873e-01
3.083924344304486698e-02 1.952099999999999946e-01
3.151428172097601316e-02 2.194399999999999962e-01
3.220409460893151193e-02 2.500939999999999830e-01
3.290900679366954434e-02 2.854260000000000130e-01
3.362935008254323843e-02 3.270759999999999779e-01
3.436545982617606604e-02 3.795569999999999777e-01
3.511768145762538679e-02 4.473579999999999779e-01
3.588636982920923035e-02 5.310550000000000548e-01
3.667188287528685281e-02 6.245180000000000176e-01
3.747459035401046190e-02 7.162969999999999615e-01
3.829486888200696326e-02 7.952470000000000372e-01
3.913310161841203338e-02 8.562880000000000491e-01
3.998968266187323539e-02 9.016140000000000265e-01
4.086501260624340881e-02 9.364479999999999471e-01
4.175950326235679244e-02 9.635989999999999833e-01
4.267357455111880221e-02 9.818510000000000293e-01
4.360765235805109941e-02 9.892309999999999715e-01
4.456217573218773653e-02 9.867240000000000455e-01
4.553759360593897382e-02 9.771609999999999463e-01
4.653436264861679494e-02 9.613969999999999461e-01
4.755294901990994583e-02 9.374670000000000503e-01
4.859383060501651364e-02 9.027030000000000332e-01
4.965749734357217948e-02 8.562809999999999588e-01
5.074444382592605690e-02 8.012939999999999507e-01
5.185518671652646766e-02 7.444539999999999491e-01
5.299023919793973553e-02 6.932270000000000376e-01
5.415013688613103116e-02 6.529190000000000271e-01
5.533542508618215922e-02 6.255579999999999474e-01
5.654665825930951795e-02 6.102880000000000527e-01
5.778440269534190765e-02 6.040090000000000181e-01
5.904923992113619846e-02 6.017400000000000526e-01
6.034176368113722960e-02 5.974319999999999631e-01
6.166257977365023624e-02 5.858659999999999979e-01
6.301230579922413588e-02 5.646090000000000275e-01
6.439157495481964699e-02 5.346189999999999554e-01
6.580103648476649802e-02 4.992090000000000138e-01
6.724135160227064090e-02 4.624809999999999754e-01
