# period(s) Vg(km/s)
1.100000000000000089e+00 9.480699999999999683e-01
1.000000000000000000e+00 9.114900000000000224e-01
9.000000000000000222e-01 8.574800000000000200e-01
8.000000000000000444e-01 7.949800000000000200e-01
6.999999999999999556e-01 8.124299999999999855e-01
5.999999999999999778e-01 8.217700000000000005e-01
5.000000000000000000e-01 7.819399999999999684e-01
4.000000000000000222e-01 7.813400000000000345e-01
2.999999999999999889e-01 8.130300000000000304e-01
