# frequency(Hz) HVamp
2.000000000000000042e-02 1.553582999999999936e+00
2.043777802275861116e-02 1.621069000000000093e+00
2.088513892042544867e-02 1.661521999999999943e+00
2.134229185993890415e-02 1.665043999999999969e+00
2.180945121728470465e-02 1.630630000000000024e+00
2.228683671448790371e-02 1.564586999999999950e+00
2.277467095838639488e-02 1.478471000000000091e+00
2.327318386720582041e-02 1.385091999999999990e+00
2.378260869151607032e-02 1.295846000000000053e+00
2.430318396985316209e-02 1.221910000000000052e+00
2.483515418061077798e-02 1.173704000000000081e+00
2.537876860438217572e-02 1.157291999999999987e+00
2.593428185548686538e-02 1.171791000000000027e+00
2.650195524800330604e-02 1.209923999999999999e+00
2.708205410122367304e-02 1.261754000000000042e+00
2.767485116257483238e-02 1.321020000000000083e+00
2.828062296556268368e-02 1.389369999999999994e+00
2.889965516642458918e-02 1.472852000000000050e+00
2.953223712425469966e-02 1.573781000000000097e+00
3.017866585007221089e-02 1.684974999999999890e+00
3.083924344304486698e-02 1.789228000000000041e+00
3.151428172097601316e-02 1.864978000000000025e+00
3.220409460893151193e-02 1.897324999999999928e+00
3.290900679366954434e-02 1.886949999999999905e+00
3.362935008254323843e-02 1.847690999999999972e+00
3.436545982617606604e-02 1.795223000000000013e+00
3.511768145762538679e-02 1.738925000000000054e+00
3.588636982920923035e-02 1.682377000000000011e+00
3.667188287528685281e-02 1.628411999999999971e+00
3.747459035401046190e-02 1.582205000000000084e+00
3.829486888200696326e-02 1.549641000000000046e+00
3.913310161841203338e-02 1.533830999999999944e+00
3.998968266187323539e-02 1.533331000000000000e+00
4.086501260624340881e-02 1.542899999999999938e+00
4.175950326235679244e-02 1.556289000000000033e+00
4.267357455111880221e-02 1.569202999999999903e+00
4.360765235805109941e-02 1.579169000000000045e+00
4.456217573218773653e-02 1.581706000000000056e+00
4.553759360593897382e-02 1.567282000000000064e+00
4.653436264861679494e-02 1.524550000000000072e+00
4.755294901990994583e-02 1.450511000000000106e+00
4.859383060501651364e-02 1.357688000000000006e+00
4.965749734357217948e-02 1.267419999999999991e+00
5.074444382592605690e-02 1.195721999999999952e+00
5.185518671652646766e-02 1.145696000000000048e+00
5.299023919793973553e-02 1.110266999999999893e+00
5.415013688613103116e-02 1.079258000000000051e+00
5.533542508618215922e-02 1.045109000000000066e+00
5.654665825930951795e-02 1.005595999999999934e+00
5.778440269534190765e-02 9.639360000000000150e-01
5.904923992113619846e-02 9.275339999999999696e-01
6.034176368113722960e-02 9.058669999999999778e-01
6.166257977365023624e-02 9.067960000000000464e-01
6.301230579922413588e-02 9.328650000000000553e-01
6.439157495481964699e-02 9.789430000000000076e-01
6.580103648476649802e-02 1.031698999999999922e+00
6.724135160227064090e-02 1.073112999999999984e+00
6.871319291929786632e-02 1.087504000000000026e+00
7.021724865648072689e-02 1.068557999999999897e+00
7.175422799231455373e-02 1.022855000000000070e+00
7.332484622679873165e-02 9.671149999999999469e-01
7.492985067379918929e-02 9.201629999999999532e-01
7.656998328017844413e-02 8.950230000000000130e-01
7.824601847091161577e-02 8.955009999999999915e-01
7.995873489609482687e-02 9.169840000000000213e-01
8.170894587125514252e-02 9.493289999999999784e-01
8.349746848200181870e-02 9.810360000000000191e-01
8.532513483931059017e-02 1.003578999999999999e+00
8.719280666320453066e-02 1.013387999999999955e+00
8.910136197668877545e-02 1.010518000000000027e+00
9.105169441740208758e-02 9.965169999999999861e-01
9.304472101470850909e-02 9.740760000000000529e-01
9.508136492722282784e-02 9.474420000000000064e-01
9.716259003207046441e-02 9.214200000000000168e-01
9.928937600698042876e-02 8.995400000000000063e-01
1.014627169666056788e-01 8.829730000000000079e-01
1.036836198025345573e-01 8.705680000000000085e-01
1.059531470945422049e-01 8.596789999999999710e-01
1.082723426204657002e-01 8.471450000000000369e-01
1.106423073612318730e-01 8.300750000000000073e-01
1.130641434367904014e-01 8.065320000000000267e-01
1.155389888050807612e-01 7.762970000000000148e-01
1.180680199308263012e-01 7.414030000000000342e-01
1.206523964642573915e-01 7.060199999999999809e-01
1.232933427266421494e-01 6.755229999999999846e-01
1.259921091142061633e-01 6.548319999999999697e-01
1.287499385219043613e-01 6.465079999999999716e-01
1.315681276210838024e-01 6.496680000000000232e-01
1.344480149355610776e-01 6.605509999999999993e-01
1.373909270603933253e-01 6.744200000000000195e-01
1.403982677661723133e-01 6.874289999999999567e-01
1.434714465996406174e-01 6.972679999999999989e-01
1.466118729226930095e-01 7.025879999999999903e-01
1.498210387691902012e-01 7.023270000000000346e-01
1.531004603883944215e-01 6.959140000000000326e-01
1.564516759885790365e-01 6.838819999999999899e-01
1.598762174374112610e-01 6.678429999999999644e-01
1.633757347823671657e-01 6.497300000000000297e-01
1.669518482487836186e-01 6.312389999999999946e-01
1.706062493069121222e-01 6.138540000000000108e-01
1.743406480276755433e-01 5.989719999999999489e-01
1.781567686922972404e-01 5.878039999999999932e-01
1.820564109071452219e-01 5.810070000000000512e-01
1.860414236112984399e-01 5.781159999999999632e-01
1.901136708649468487e-01 5.773080000000000434e-01
1.942750635716576912e-01 5.762490000000000112e-01
1.985275213739692568e-01 5.735940000000000483e-01
2.028730886819132551e-01 5.695310000000000095e-01
2.073137384534022021e-01 5.646809999999999885e-01
2.118516148918974384e-01 5.587600000000000344e-01
2.164888283105038391e-01 5.505619999999999958e-01
2.212275340673810209e-01 5.391799999999999926e-01
2.260699835805370650e-01 5.252179999999999627e-01
2.310183752015635139e-01 5.109730000000000105e-01
2.360751096568884100e-01 4.994720000000000271e-01
2.412425341466744866e-01 4.929279999999999773e-01
2.465230998307618715e-01 4.916309999999999847e-01
2.519191833183147544e-01 4.939520000000000022e-01
2.574334553825345373e-01 4.973529999999999895e-01
2.630683822583526066e-01 4.998150000000000093e-01
2.688266710467492326e-01 5.007800000000000029e-01
2.747110108843249798e-01 5.010250000000000536e-01
2.807241335168895180e-01 5.017009999999999525e-01
2.868688920234096495e-01 5.034910000000000219e-01
2.931481028187655768e-01 5.064950000000000285e-01
2.995647922697904919e-01 5.105920000000000458e-01
3.061219491886544297e-01 5.156849999999999490e-01
3.128225983045015424e-01 5.215480000000000116e-01
3.196699982673885665e-01 5.276170000000000027e-01
3.266672524899394969e-01 5.331200000000000383e-01
3.338175913859038335e-01 5.373200000000000198e-01
3.411245032800827026e-01 5.394679999999999476e-01
3.485912903071751723e-01 5.386389999999999789e-01
3.562216425308692980e-01 5.338479999999999892e-01
3.640189144227933826e-01 5.245170000000000110e-01
3.719868599361595973e-01 5.109709999999999530e-01
3.801292743636255911e-01 4.944810000000000039e-01
3.884498326752345854e-01 4.767179999999999751e-01
3.969526737144291051e-01 4.591379999999999906e-01
4.056414997215270768e-01 4.428860000000000019e-01
4.145204868460213854e-01 4.292719999999999869e-01
4.235940173275368759e-01 4.200999999999999734e-01
4.328659535344370757e-01 4.170820000000000083e-01
4.423408678727827614e-01 4.205809999999999826e-01
4.520233696082087693e-01 4.289009999999999767e-01
4.619176604055267865e-01 4.388119999999999798e-01
4.720285331807737017e-01 4.469699999999999784e-01
4.823605567984378673e-01 4.513519999999999754e-01
4.929189725005434508e-01 4.519830000000000236e-01
5.037085542305222985e-01 4.507700000000000040e-01
5.147340034826902722e-01 4.506220000000000225e-01
5.260010193899755659e-01 4.541250000000000009e-01
5.375147682182568332e-01 4.621819999999999817e-01
5.492803329078241870e-01 4.733899999999999775e-01
5.613033013614973088e-01 4.846989999999999910e-01
5.735898580135665448e-01 4.930640000000000023e-01
5.861448258358571417e-01 4.971539999999999848e-01
5.989749143316128732e-01 4.980620000000000047e-01
6.120861303119130570e-01 4.984600000000000142e-01
6.254839682204105245e-01 5.006869999999999932e-01
6.391749019026319312e-01 5.049510000000000387e-01
6.531657310067570110e-01 5.086549999999999683e-01
6.674631727194452191e-01 5.074469999999999814e-01
6.820728740300071591e-01 4.978040000000000243e-01
6.970030263871405118e-01 4.796420000000000128e-01
7.122593364734473020e-01 4.569699999999999873e-01
7.278502433567288765e-01 4.358810000000000184e-01
7.437819826252529687e-01 4.213890000000000136e-01
7.600626595656545526e-01 4.153810000000000002e-01
7.766996323880640540e-01 4.166099999999999803e-01
7.937005574159013976e-01 4.220030000000000170e-01
8.110740810733430006e-01 4.282969999999999833e-01
8.288272757110509703e-01 4.336110000000000242e-01
8.469695429752346350e-01 4.384970000000000256e-01
8.655086161382736787e-01 4.456010000000000248e-01
8.844540397880493732e-01 4.577450000000000130e-01
9.038134601323364326e-01 4.757739999999999747e-01
9.235972635660274488e-01 4.981050000000000200e-01
9.438138195107080852e-01 5.223250000000000393e-01
9.644726842046378312e-01 5.470899999999999652e-01
9.855838648094324972e-01 5.724599999999999689e-01
1.007156856623164121e+00 5.987149999999999972e-01
1.029202594413900052e+00 6.250369999999999537e-01
1.051730412046940843e+00 6.490500000000000158e-01
1.074752242739242414e+00 6.674849999999999950e-01
1.098277132661993116e+00 6.779859999999999776e-01
1.122316821060050707e+00 6.809650000000000425e-01
1.146883687643933891e+00 6.797199999999999909e-01
1.171988078537265165e+00 6.786069999999999602e-01
1.197640647923590596e+00 6.808359999999999967e-01
1.223856887071053556e+00 6.872690000000000188e-01
1.250645645814651763e+00 6.963150000000000173e-01
1.278020601692099190e+00 7.046620000000000106e-01
1.305994514823037633e+00 7.087550000000000239e-01
1.334582502555725414e+00 7.065470000000000361e-01
1.363795059788775355e+00 6.985839999999999828e-01
1.393646643680787944e+00 6.880849999999999467e-01
1.424152486855072564e+00 6.804080000000000128e-01
1.455324450032890349e+00 6.820619999999999461e-01
1.487179029585939727e+00 6.987269999999999870e-01
1.519733742648287977e+00 7.321950000000000403e-01
1.552997595959721311e+00 7.779470000000000551e-01
1.586991746055928854e+00 8.263930000000000442e-01
1.621728568046108876e+00 8.683999999999999497e-01
1.657226002538870313e+00 9.007230000000000514e-01
1.693503044918474698e+00 9.263679999999999692e-01
1.730570880722132499e+00 9.503409999999999913e-01
1.768449794594556090e+00 9.752359999999999918e-01
1.807161419272292235e+00 9.998489999999999878e-01
1.846718657952616915e+00 1.020928000000000058e+00
1.887141395956233536e+00 1.036172000000000093e+00
1.928446905999783967e+00 1.046299000000000090e+00
1.970660801980119947e+00 1.054923000000000055e+00
2.013794492272063863e+00 1.066718000000000055e+00
2.057875696076454375e+00 1.085196000000000049e+00
2.102921167794182811e+00 1.111394999999999911e+00
2.148947875120341244e+00 1.144079999999999986e+00
2.195987491655247315e+00 1.180808000000000080e+00
2.244054377925685628e+00 1.219004999999999894e+00
2.293172994677545429e+00 1.256733000000000100e+00
2.343369202504593130e+00 1.292669999999999986e+00
2.394664687077192156e+00 1.324988999999999972e+00
2.447081854888045971e+00 1.350141000000000036e+00
2.500643915808320461e+00 1.363641000000000103e+00
2.555381505681890708e+00 1.363202999999999943e+00
2.611313778074887182e+00 1.350880000000000081e+00
2.668474113132628389e+00 1.331692000000000098e+00
2.726883526623927079e+00 1.310402000000000067e+00
2.786570957242854973e+00 1.289257000000000097e+00
2.847566896465314912e+00 1.267940999999999985e+00
2.909895098281706893e+00 1.245300999999999991e+00
2.973597428432943612e+00 1.221230000000000038e+00
3.038682427299522981e+00 1.197003999999999957e+00
3.105194680180473732e+00 1.173863000000000101e+00
3.173162659491088000e+00 1.151680999999999955e+00
3.242626267866870915e+00 1.129124999999999934e+00
3.313595350363004233e+00 1.104892999999999903e+00
3.386134456627003964e+00 1.078967999999999927e+00
3.460243531939777739e+00 1.052859999999999907e+00
3.535992871438371044e+00 1.028651999999999900e+00
3.613382523514086397e+00 1.007624999999999993e+00
3.692475841976804229e+00 9.893060000000000187e-01
3.773300128292204736e+00 9.714859999999999607e-01
3.855897402281920350e+00 9.512059999999999960e-01
3.940296625529969621e+00 9.262320000000000553e-01
4.026542971266589888e+00 8.963790000000000369e-01
4.114684485993613805e+00 8.639590000000000325e-01
4.204754736656211023e+00 8.329339999999999522e-01
4.296787721499407020e+00 8.073510000000000408e-01
4.390837200929101236e+00 7.900110000000000188e-01
4.486960891648868355e+00 7.817910000000000137e-01
4.585157844058781684e+00 7.815630000000000077e-01
4.685530612914259763e+00 7.865429999999999922e-01
4.788102522851219511e+00 7.930930000000000479e-01
4.892894538551115780e+00 7.978549999999999809e-01
