# frequency(Hz) HVamp
2.000000000000000042e-02 2.074761000000000077e+00
2.043777802275861116e-02 2.041768999999999945e+00
2.088513892042544867e-02 2.006426999999999961e+00
2.134229185993890415e-02 1.969251000000000085e+00
2.180945121728470465e-02 1.932630000000000070e+00
2.228683671448790371e-02 1.897356000000000043e+00
2.277467095838639488e-02 1.861836999999999964e+00
2.327318386720582041e-02 1.825016999999999889e+00
2.378260869151607032e-02 1.788539000000000101e+00
2.430318396985316209e-02 1.754669999999999952e+00
2.483515418061077798e-02 1.723562999999999956e+00
2.537876860438217572e-02 1.692995000000000028e+00
2.593428185548686538e-02 1.660088999999999926e+00
2.650195524800330604e-02 1.623399000000000036e+00
2.708205410122367304e-02 1.583931999999999896e+00
2.767485116257483238e-02 1.544451000000000018e+00
2.828062296556268368e-02 1.507911999999999919e+00
2.889965516642458918e-02 1.476315000000000044e+00
2.953223712425469966e-02 1.450150000000000050e+00
3.017866585007221089e-02 1.428315999999999919e+00
3.083924344304486698e-02 1.408927000000000040e+00
3.151428172097601316e-02 1.390668999999999933e+00
3.220409460893151193e-02 1.373537999999999926e+00
3.290900679366954434e-02 1.358560999999999908e+00
3.362935008254323843e-02 1.346880999999999995e+00
3.436545982617606604e-02 1.338592000000000004e+00
3.511768145762538679e-02 1.331757999999999997e+00
3.588636982920923035e-02 1.322356000000000087e+00
3.667188287528685281e-02 1.305924000000000085e+00
3.747459035401046190e-02 1.280019999999999936e+00
3.829486888200696326e-02 1.245803999999999911e+00
3.913310161841203338e-02 1.208412000000000042e+00
3.998968266187323539e-02 1.175993999999999984e+00
4.086501260624340881e-02 1.157421999999999951e+00
4.175950326235679244e-02 1.159596000000000071e+00
4.267357455111880221e-02 1.185229000000000088e+00
4.360765235805109941e-02 1.231490999999999891e+00
4.456217573218773653e-02 1.290189000000000030e+00
4.553759360593897382e-02 1.349906999999999968e+00
4.653436264861679494e-02 1.399547000000000097e+00
4.755294901990994583e-02 1.433553000000000077e+00
4.859383060501651364e-02 1.455313000000000079e+00
4.965749734357217948e-02 1.472903000000000073e+00
5.074444382592605690e-02 1.492666000000000048e+00
5.185518671652646766e-02 1.516383999999999954e+00
5.299023919793973553e-02 1.541617999999999933e+00
5.415013688613103116e-02 1.564577000000000107e+00
5.533542508618215922e-02 1.583412999999999959e+00
5.654665825930951795e-02 1.599426000000000014e+00
5.778440269534190765e-02 1.615132000000000012e+00
5.904923992113619846e-02 1.631002000000000063e+00
6.034176368113722960e-02 1.644424000000000108e+00
6.166257977365023624e-02 1.652427000000000090e+00
6.301230579922413588e-02 1.654767000000000099e+00
6.439157495481964699e-02 1.654393000000000002e+00
6.580103648476649802e-02 1.655385000000000106e+00
6.724135160227064090e-02 1.660306999999999977e+00
6.871319291929786632e-02 1.669070999999999971e+00
7.021724865648072689e-02 1.679346999999999923e+00
7.175422799231455373e-02 1.687659000000000020e+00
7.332484622679873165e-02 1.690973000000000059e+00
7.492985067379918929e-02 1.688703999999999983e+00
7.656998328017844413e-02 1.683408999999999933e+00
7.824601847091161577e-02 1.678611999999999993e+00
7.995873489609482687e-02 1.676155999999999979e+00
8.170894587125514252e-02 1.676355000000000040e+00
8.349746848200181870e-02 1.679756999999999945e+00
8.532513483931059017e-02 1.687503999999999893e+00
8.719280666320453066e-02 1.700220000000000065e+00
8.910136197668877545e-02 1.717813000000000034e+00
9.105169441740208758e-02 1.741287999999999947e+00
9.304472101470850909e-02 1.773728999999999889e+00
9.508136492722282784e-02 1.817325999999999997e+00
9.716259003207046441e-02 1.869091999999999976e+00
9.928937600698042876e-02 1.919817000000000107e+00
1.014627169666056788e-01 1.958002999999999938e+00
1.036836198025345573e-01 1.976893000000000011e+00
1.059531470945422049e-01 1.979144999999999932e+00
1.082723426204657002e-01 1.975149000000000044e+00
1.106423073612318730e-01 1.976820000000000022e+00
1.130641434367904014e-01 1.991802000000000072e+00
1.155389888050807612e-01 2.021443999999999797e+00
1.180680199308263012e-01 2.062669000000000086e+00
1.206523964642573915e-01 2.111235000000000195e+00
1.232933427266421494e-01 2.163819999999999855e+00
1.259921091142061633e-01 2.218189999999999884e+00
1.287499385219043613e-01 2.272565999999999864e+00
1.315681276210838024e-01 2.326134999999999842e+00
1.344480149355610776e-01 2.380510999999999822e+00
1.373909270603933253e-01 2.438953999999999844e+00
1.403982677661723133e-01 2.502848000000000184e+00
1.434714465996406174e-01 2.569415999999999922e+00
1.466118729226930095e-01 2.633650999999999964e+00
1.498210387691902012e-01 2.692505999999999844e+00
1.531004603883944215e-01 2.747609000000000190e+00
1.564516759885790365e-01 2.804787000000000141e+00
1.598762174374112610e-01 2.870568000000000008e+00
1.633757347823671657e-01 2.946982999999999908e+00
1.669518482487836186e-01 3.028335000000000221e+00
1.706062493069121222e-01 3.104279000000000011e+00
1.743406480276755433e-01 3.166666999999999899e+00
1.781567686922972404e-01 3.211466000000000154e+00
1.820564109071452219e-01 3.235360000000000014e+00
1.860414236112984399e-01 3.235202000000000133e+00
1.901136708649468487e-01 3.212199000000000026e+00
1.942750635716576912e-01 3.175216999999999956e+00
1.985275213739692568e-01 3.139064999999999994e+00
2.028730886819132551e-01 3.118641000000000219e+00
2.073137384534022021e-01 3.122348000000000123e+00
2.118516148918974384e-01 3.148444000000000020e+00
2.164888283105038391e-01 3.186395999999999784e+00
2.212275340673810209e-01 3.221896000000000093e+00
2.260699835805370650e-01 3.241617999999999888e+00
2.310183752015635139e-01 3.235923999999999801e+00
2.360751096568884100e-01 3.201931000000000083e+00
2.412425341466744866e-01 3.146802999999999795e+00
2.465230998307618715e-01 3.085423000000000027e+00
2.519191833183147544e-01 3.031067999999999873e+00
2.574334553825345373e-01 2.986972000000000182e+00
2.630683822583526066e-01 2.946501000000000037e+00
2.688266710467492326e-01 2.900777000000000161e+00
2.747110108843249798e-01 2.846112999999999893e+00
2.807241335168895180e-01 2.785813999999999790e+00
2.868688920234096495e-01 2.727088000000000179e+00
2.931481028187655768e-01 2.676381999999999817e+00
2.995647922697904919e-01 2.636441000000000034e+00
3.061219491886544297e-01 2.607206000000000135e+00
3.128225983045015424e-01 2.588382999999999878e+00
3.196699982673885665e-01 2.579349999999999810e+00
3.266672524899394969e-01 2.575898000000000021e+00
3.338175913859038335e-01 2.568694999999999951e+00
3.411245032800827026e-01 2.548275999999999986e+00
3.485912903071751723e-01 2.513800999999999952e+00
3.562216425308692980e-01 2.475872999999999990e+00
3.640189144227933826e-01 2.448796999999999890e+00
3.719868599361595973e-01 2.440841999999999956e+00
3.801292743636255911e-01 2.451211999999999946e+00
3.884498326752345854e-01 2.472945000000000171e+00
3.969526737144291051e-01 2.497749999999999915e+00
4.056414997215270768e-01 2.519992999999999927e+00
4.145204868460213854e-01 2.537834999999999841e+00
4.235940173275368759e-01 2.551308000000000131e+00
4.328659535344370757e-01 2.559773999999999994e+00
4.423408678727827614e-01 2.561373999999999818e+00
4.520233696082087693e-01 2.554508999999999919e+00
4.619176604055267865e-01 2.539592999999999989e+00
4.720285331807737017e-01 2.519709999999999894e+00
4.823605567984378673e-01 2.499963000000000157e+00
4.929189725005434508e-01 2.485875000000000057e+00
5.037085542305222985e-01 2.481198000000000015e+00
5.147340034826902722e-01 2.486034000000000077e+00
5.260010193899755659e-01 2.496326999999999963e+00
5.375147682182568332e-01 2.505373000000000072e+00
5.492803329078241870e-01 2.506997000000000142e+00
5.613033013614973088e-01 2.498895999999999784e+00
5.735898580135665448e-01 2.484278999999999904e+00
5.861448258358571417e-01 2.471007999999999871e+00
5.989749143316128732e-01 2.468992000000000075e+00
6.120861303119130570e-01 2.486906999999999979e+00
6.254839682204105245e-01 2.528468999999999856e+00
6.391749019026319312e-01 2.589808999999999806e+00
6.531657310067570110e-01 2.660598999999999936e+00
6.674631727194452191e-01 2.728327999999999864e+00
6.820728740300071591e-01 2.781741999999999937e+00
6.970030263871405118e-01 2.812485999999999819e+00
7.122593364734473020e-01 2.817048000000000219e+00
7.278502433567288765e-01 2.797987000000000002e+00
7.437819826252529687e-01 2.761905000000000054e+00
7.600626595656545526e-01 2.715527999999999942e+00
7.766996323880640540e-01 2.663425000000000153e+00
7.937005574159013976e-01 2.608292000000000055e+00
8.110740810733430006e-01 2.552188000000000123e+00
8.288272757110509703e-01 2.497236000000000011e+00
8.469695429752346350e-01 2.445300000000000029e+00
8.655086161382736787e-01 2.397234000000000087e+00
8.844540397880493732e-01 2.352673999999999932e+00
9.038134601323364326e-01 2.310312000000000143e+00
